M31969 - Micro - Data Prioritization,M20337 - Micro - Data Prioritization,M31969 - Oligo - Data Prioritization,M31969 - OPC - AD Prioritization,M31969 - Oligo - AD Prioritization,M20337 - Oligo - AD Prioritization,M31969 - OPC - SCZ Prioritization,M20337 - OPC - SCZ Prioritization,M31969 - Micro - SCZ Prioritization,M20337 - Micro - SCZ Prioritization,M31969 - Oligo - SCZ Prioritization,M20337 - Oligo - SCZ Prioritization,AD Prioritization - 0.9-1.1%,Data Prioritization - 0.9-1.1%,SCZ Prioritization - 0.9-1.1%,AD Prioritization - 4.5-5.5%,Data Prioritization - 4.5-5.5%,SCZ Prioritization - 4.5-5.5%,AD Prioritization - 9.0-11.0%,Data Prioritization - 9.0-11.0%,SCZ Prioritization - 9.0-11.0%,_BACKGROUND
HIF1A,PDGFB,CEBPD,FOXF2,IRF2,ALOX5,FOXF2,NFIX,SND1,ARHGAP27,IRF2,PXK,ADARB1,ADARB1,ADARB1,BACH1,ARX,ELF1,ELF1,ARX,BCL6,A1CF
ABCB4,CD37,ADGRF5,,LCOR,SRGAP2B,,MRC1,CTSB,SIGLEC10,LCOR,ALOX5,ARX,ARID3A,ARID3A,BCL6,ATF6,ERG,ERG,BACH1,CEBPB,A2M
ETV6,NFATC2,ZNF451,,DCDC2C,RAPGEF1,,MSX1,HIF1A,CD86,DCDC2C,SRGAP2B,ATF3,ARX,ARX,EBF1,BACH1,ETS1,ETS1,BCL11A,ELF1,A2MP1
LEF1,CLEC7A,TXNIP,,DUSP16,SORL1,,MAFB,ABCB4,SRGAP2-AS1,DUSP16,PLPP1,BACH1,ATF3,ATF3,ELF1,BATF,ETS2,ETS2,BCL6,ETS2,A4GALT
PLA2G4A,P2RY12,NRP2,,RPS3A,RIN3,,RNF144B,SRGAP2B,NCKAP1L,RPS3A,PELI2,BACH2,ATF6,ATF6,ELF2,BCL11A,ETV6,ETV6,CEBPB,ETV6,AADACL2-AS1
PCAT19,TAL1,NOTCH1,,TMCC3,USP6NL,,GFRA1,ETV6,FMNL1,TMCC3,PPP5C,BATF,BACH1,BACH1,ERG,BCL6,FLI1,FLI1,DLX1,FLI1,AATK
CEBPD,BHLHE41,CD163,,INSIG1,CD84,,GRIK1,SUSD6,IRF5,INSIG1,ELK3,BCL11A,BACH2,BACH2,ETS1,CEBPB,FOS,FOS,ELF1,IKZF1,ABCA1
ST8SIA6,C12orf75,FOSL2,,ACSL1,LYN,,TSC22D3,ZNF710,LPAR6,KDM5A,RAPGEF1,BCL6,BATF,BATF,ETS2,CEBPD,FOXN3,FOXC1,ERG,IRF5,ABCA10
CLIC2,SH2B3,RBPJ,,ZBED5,TBC1D4,,CD96,MSR1,APBB1IP,ACSL1,UBB,BCL6B,BCL11A,BATF3,ETV6,CUX1,GATA2,FOXF2,ETS1,IRF8,ABCA12
SLC2A1,PRRG4,TMEM51,,IQGAP1,SFMBT2,,PGM5,ST8SIA6,ZNF846,CHSY1,RAD21,BCLAF1,BCL11B,BBX,FLI1,DLX1,IKZF1,FOXO1,ETS2,JUND,ABCA2
SRGN,SLC2A9,,,TMEM63A,MGAT4A,,RASSF8,CLIC2,ZNF362,ZBED5,SORL1,BHLHE40,BCL6,BCL11A,FOS,EBF1,IRF2,IKZF1,ETV6,NFATC2,ABCA6
HSPBAP1,SRGAP2C,,,ZFAND6,AKAP13,,STK32B,SRGN,WDFY4,ZEB2,KDM2A,CBFB,BHLHE40,BCL11B,FOXF1,EGR1,IRF8,IRF8,FLI1,REL,ABCA8
ARHGAP9,,,,DIDO1,LAPTM5,,ETS1,RIN3,FCGRT,IQGAP1,RIN2,CEBPB,BHLHE41,BCL3,FOXL1,ELF1,JUN,JUND,FOS,RUNX1,ABCA9
SLC2A3,,,,DNMT3A,IKZF1,,MSN,BHLHE41,FMNL3,VDR,PLEK,CEBPD,CBFB,BCL6,FOXN2,ELF4,JUND,LEF1,FOXN3,SREBF2,ABCB1
FLI1,,,,TMSB4X,ARHGAP24,,SH2B3,VENTX,RAD51B,ZFAND6,RIN3,CREB5,CD59,BHLHE40,FOXO1,ERG,KLF6,NFATC2,IKZF1,TCF12,ABCB4
TSPAN14,,,,FBLN1,DENND3,,TC2N,FLI1,IRF8,TMEM63A,USP6NL,CUX1,CEBPA,CEBPA,FOXQ1,ETS1,LEF1,RUNX1,IRF8,ZNF536,ABCC4
HERC2P3,,,,MGA,KCTD12,,CHST11,CEBPA,HCP5,DIDO1,CD84,CUX2,CEBPB,CEBPB,HES4,ETS2,MAFB,SOX10,JUN,FKBP5,ABCC9
PPARD,,,,SEMA4D,ZFHX3,,NFIB,SKAP2,IL6R,DNMT3A,CNTN2,DLX1,CEBPD,CEBPD,IKZF1,ETV6,NFATC2,SOX5,JUND,IL4R,ABCG2
NXN,,,,CRYBG3,CD86,,CYTIP,PLSCR1,PGM5,TMSB4X,LYN,DLX2,CEBPG,CEBPG,IRF5,FLI1,NFKB1,SREBF2,LEF1,IRAK3,ABHD15
EPAS1,,,,SOX10,ADAM28,,MS4A4A,TSPAN14,DOCK8,FBLN1,LIPC,DLX5,CHD1,CHD1,IRF8,FOS,POU2F2,TBX15,LHX6,PECAM1,ABHD3
CYYR1-AS1,,,,ITGA5,SYK,,OSR1,LPCAT2,LPAR5,MGA,TBC1D4,DLX6,CREB5,CREB5,JUN,FOSL2,REL,TBX2,MAFB,PRKCH,ABI3
EMCN,,,,PMP22,LPAR6,,MAF,NFATC1,VAV1,SEMA4D,MYNN,EBF1,CREM,DLX1,JUNB,FOXC1,RUNX1,TBX3,MECOM,TM6SF1,ABI3BP
SOCS3,,,,SREBF2,HLA-E,,WIPF1,LDLRAD4,HLA-DRB1,CRYBG3,C1QA,EGR1,CUX1,DLX2,JUND,FOXC2,RUNX3,TCF12,MEF2C,ABR,ABL1
NAMPT,,,,BCLAF1,WDFY4,,ZBTB7A,PPARD,SFMBT2,ITGA5,PLCL1,ELF1,DLX1,E2F3,KLF2,FOXD1,SOX10,TCF7L1,NFATC2,AKAP13,ABLIM1
SLCO4A1,,,,SPSB1,IFNGR1,,NTN1,NXN,FAM177B,PMP22,MGAT4A,ELF2,DLX2,EGR1,LEF1,FOXN3,SOX8,TCF7L2,NFIB,ATP8B4,ABO
PARVB,,,,FLNA,ZNF710,,TCF7L2,RCSD1,LYL1,SREBF2,BTG1,ELF4,DLX5,ELF1,MAFB,FOXO1,SREBF2,ZEB1,NR2F2,BMP2K,ABR
ETS2,,,,PLD1,IFI16,,PBX3,CYYR1-AS1,CPVL,BCLAF1,UST,ELK4,DLX6,ELF2,MECOM,FOXP2,TAL1,ZNF536,POU2F2,CHST11,ABTB2
CLDN5,,,,WIPF1,FAM177B,,DUSP5,INPP5D,BCL11B,SPSB1,ZNF706,EP300,E2F2,ELK3,NFATC2,FOXQ1,TBX15,FKBP5,PRDM1,CPVL,ACAA1
NOSTRIN,,,,HNRNPC,LCP2,,THEMIS,EMCN,MYO1F,FLNA,AKAP13,ERG,E2F3,EOMES,NFATC4,GATA2,TCF12,WIPF1,PRRX1,CSF3R,ACACB
