_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.8,C0410702,M1,1,0,DisGeNET,35,Adolescent idiopathic scoliosis,,-6.8,10,8.8,30304,656,40,9,22,6.6,3479|5649|9242|9586|9760|55553|65217|221395|100132891,IGF1|RELN|MSC|CREB5|TOX|SOX6|PCDH15|ADGRF5|MSC-AS1,-3.1,0
1,-5.8,C4551463,M1,1,0,DisGeNET,35,Colon adenoma,,-5.8,48,14,30304,63,40,4,10,4.7,2122|3479|6256|23213,MECOM|IGF1|RXRA|SULF1,-2.6,0
1,-5.2,C2347613,M1,1,0,DisGeNET,35,Childhood Atypical Teratoid/Rhabdoid Tumor,,-5.2,81,15,30304,28,40,3,7.5,4.2,2146|3479|63976,EZH2|IGF1|PRDM16,-2.1,0
1,-5,C1837461,M1,1,0,DisGeNET,35,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,-5,9.2,7.2,30304,578,40,7,18,6,5649|9586|9760|55553|65217|221395|100132891,RELN|CREB5|TOX|SOX6|PCDH15|ADGRF5|MSC-AS1,-2,0
1,-4.7,C1961099,M1,1,0,DisGeNET,35,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,,-4.7,8.2,6.7,30304,644,40,7,18,6,2078|2122|2146|3479|9760|22806|63976,ERG|MECOM|EZH2|IGF1|TOX|IKZF3|PRDM16,-1.8,0
1,-4.5,C1739405,M1,1,0,DisGeNET,35,CML progression,,-4.5,48,12,30304,47,40,3,7.5,4.2,2122|2146|3479,MECOM|EZH2|IGF1,-1.7,0
1,-4.4,C0038013,M1,1,0,DisGeNET,35,Ankylosing spondylitis,,-4.4,7.5,6.3,30304,710,40,7,18,6,639|864|2078|2122|3479|9242|84959,PRDM1|RUNX3|ERG|MECOM|IGF1|MSC|UBASH3B,-1.7,0
1,-4.4,C1879321,M1,1,0,DisGeNET,35,Acute Myeloid Leukemia (AML-M2),,-4.4,21,8.8,30304,143,40,4,10,4.7,864|2078|2122|4603,RUNX3|ERG|MECOM|MYBL1,-1.7,0
1,-4.4,C1275278,M1,1,0,DisGeNET,35,Extraskeletal Myxoid Chondrosarcoma,,-4.4,45,11,30304,50,40,3,7.5,4.2,4603|6938|55553,MYBL1|TCF12|SOX6,-1.7,0
1,-4.4,C0036220,M1,1,0,DisGeNET,35,Kaposi Sarcoma,,-4.4,9.3,6.7,30304,488,40,6,15,5.6,864|2078|2146|3479|9242|84959,RUNX3|ERG|EZH2|IGF1|MSC|UBASH3B,-1.7,0
1,-4.3,C0428883,M1,1,0,DisGeNET,35,Diastolic blood pressure,,-4.3,9,6.6,30304,507,40,6,15,5.6,2078|2122|10365|55553|57194|63976,ERG|MECOM|KLF2|SOX6|ATP10A|PRDM16,-1.6,0
1,-4.3,C0553580,M1,1,0,DisGeNET,35,Ewings sarcoma,,-4.3,8.8,6.5,30304,517,40,6,15,5.6,864|2078|2146|3479|5649|285987,RUNX3|ERG|EZH2|IGF1|RELN|DLX6-AS1,-1.6,0
1,-4.2,C0000846,M1,1,0,DisGeNET,35,Agenesis,,-4.2,19,8.2,30304,161,40,4,10,4.7,864|2122|2138|9242,RUNX3|MECOM|EYA1|MSC,-1.5,0
1,-4.2,C0280280,M1,1,0,DisGeNET,35,"stage, prostate cancer",,-4.2,39,11,30304,58,40,3,7.5,4.2,2078|2146|3479,ERG|EZH2|IGF1,-1.5,0
1,-4.2,C0220620,M1,1,0,DisGeNET,35,Gastrointestinal Carcinoid Tumor,,-4.2,12,7,30304,323,40,5,12,5.2,639|864|2078|2146|3479,PRDM1|RUNX3|ERG|EZH2|IGF1,-1.5,0
1,-4.1,C0263630,M1,1,0,DisGeNET,35,"Hypertrophic disorder of skin, unspecified",,-4.1,37,10,30304,62,40,3,7.5,4.2,2146|3479|84959,EZH2|IGF1|UBASH3B,-1.5,0
1,-4.1,C0029458,M1,1,0,DisGeNET,35,"Osteoporosis, Postmenopausal",,-4.1,18,8,30304,171,40,4,10,4.7,2146|3479|6660|221395,EZH2|IGF1|SOX5|ADGRF5,-1.5,0
1,-4.1,C2945695,M1,1,0,DisGeNET,35,Limb ischemia,,-4.1,18,8,30304,171,40,4,10,4.7,2146|3479|9242|10365,EZH2|IGF1|MSC|KLF2,-1.5,0
1,-4,C0265219,M1,1,0,DisGeNET,35,Miller Dieker syndrome,,-4,17,7.7,30304,182,40,4,10,4.7,2122|2146|9242|63976,MECOM|EZH2|MSC|PRDM16,-1.4,0
1,-4,C3469521,M1,1,0,DisGeNET,35,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",,-4,11,6.6,30304,359,40,5,12,5.2,864|2122|2146|3479|9242,RUNX3|MECOM|EZH2|IGF1|MSC,-1.3,0
1,-3.9,C1292778,M1,1,0,DisGeNET,35,Chronic myeloproliferative disorder,,-3.9,10,6.5,30304,366,40,5,12,5.2,864|2122|2146|3479|9242,RUNX3|MECOM|EZH2|IGF1|MSC,-1.3,0
1,-3.9,C0038273,M1,1,0,DisGeNET,35,Stereotypic Movement Disorder,,-3.9,16,7.5,30304,192,40,4,10,4.7,2571|5649|6660|63976,GAD1|RELN|SOX5|PRDM16,-1.3,0
1,-3.9,C1527349,M1,1,0,DisGeNET,35,Ductal Breast Carcinoma,,-3.9,15,7.4,30304,196,40,4,10,4.7,864|2078|2146|170691,RUNX3|ERG|EZH2|ADAMTS17,-1.3,0
1,-3.8,C0023470,M1,1,0,DisGeNET,35,Myeloid Leukemia,,-3.8,9.8,6.3,30304,385,40,5,12,5.2,2078|2122|2146|3479|63976,ERG|MECOM|EZH2|IGF1|PRDM16,-1.3,0
1,-3.8,C0040420,M1,1,0,DisGeNET,35,Tonometry,,-3.8,15,7.2,30304,206,40,4,10,4.7,2122|5649|51705|170691,MECOM|RELN|EMCN|ADAMTS17,-1.2,0
1,-3.8,C0015625,M1,1,0,DisGeNET,35,Fanconi Anemia,,-3.8,9.6,6.3,30304,393,40,5,12,5.2,864|2122|2146|3479|9242,RUNX3|MECOM|EZH2|IGF1|MSC,-1.2,0
1,-3.8,C1739135,M1,1,0,DisGeNET,35,Progression of prostate cancer,,-3.8,9.5,6.2,30304,398,40,5,12,5.2,1745|2078|2146|3479|6660,DLX1|ERG|EZH2|IGF1|SOX5,-1.2,0
1,-3.7,C0220621,M1,1,0,DisGeNET,35,Childhood Acute Myeloid Leukemia,,-3.7,14,7,30304,215,40,4,10,4.7,864|2078|2122|63976,RUNX3|ERG|MECOM|PRDM16,-1.2,0
1,-3.7,C1266184,M1,1,0,DisGeNET,35,Atypical Teratoid Rhabdoid Tumor,,-3.7,27,8.7,30304,84,40,3,7.5,4.2,2146|3479|63976,EZH2|IGF1|PRDM16,-1.2,0
1,-3.7,C0399440,M1,1,0,DisGeNET,35,Hereditary gingival fibromatosis,,-3.7,26,8.6,30304,86,40,3,7.5,4.2,2146|3479|9242,EZH2|IGF1|MSC,-1.2,0
1,-3.6,C0006287,M1,1,0,DisGeNET,35,Bronchopulmonary Dysplasia,,-3.6,9,6,30304,423,40,5,12,5.2,2146|2571|3479|5649|9242,EZH2|GAD1|IGF1|RELN|MSC,-1.1,0
1,-3.6,C0023508,M1,1,0,DisGeNET,35,White Blood Cell Count procedure,,-3.6,6.7,5.4,30304,681,40,6,15,5.6,864|2078|9586|22806|55553|221395,RUNX3|ERG|CREB5|IKZF3|SOX6|ADGRF5,-1.1,0
1,-3.6,C0398791,M1,1,0,DisGeNET,35,Nijmegen Breakage Syndrome,,-3.6,24,8.2,30304,94,40,3,7.5,4.2,2078|3479|84959,ERG|IGF1|UBASH3B,-1.1,0
1,-3.6,C0432072,M1,1,0,DisGeNET,35,Dysmorphic features,,-3.6,8.6,5.9,30304,439,40,5,12,5.2,2146|3479|5649|6660|55553,EZH2|IGF1|RELN|SOX5|SOX6,-1.1,0
1,-3.5,C0039585,M1,1,0,DisGeNET,35,Androgen-Insensitivity Syndrome,,-3.5,12,6.5,30304,247,40,4,10,4.7,2571|3479|9242|55553,GAD1|IGF1|MSC|SOX6,-1.1,0
1,-3.5,C0432283,M1,1,0,DisGeNET,35,Osteoglophonic dwarfism,,-3.5,23,7.9,30304,100,40,3,7.5,4.2,2146|9242|10365,EZH2|MSC|KLF2,-1.1,0
1,-3.5,C0038379,M1,1,0,DisGeNET,35,Strabismus,,-3.5,6.3,5.3,30304,716,40,6,15,5.6,2078|2146|6660|6913|6938|63976,ERG|EZH2|SOX5|TBX15|TCF12|PRDM16,-1.1,0
1,-3.5,C0014772,M1,1,0,DisGeNET,35,Red Blood Cell Count measurement,,-3.5,6.3,5.3,30304,717,40,6,15,5.6,2078|2122|8537|55553|63976|84959,ERG|MECOM|BCAS1|SOX6|PRDM16|UBASH3B,-1.1,0
1,-3.5,C3642346,M1,1,0,DisGeNET,35,Luminal B Breast Carcinoma,,-3.5,22,7.8,30304,103,40,3,7.5,4.2,2138|2146|22806,EYA1|EZH2|IKZF3,-1,0
1,-3.4,C1834582,M1,1,0,DisGeNET,35,"MYELOPROLIFERATIVE SYNDROME, TRANSIENT",,-3.4,22,7.7,30304,105,40,3,7.5,4.2,2078|2146|3479,ERG|EZH2|IGF1,-1,0
1,-3.4,C0032927,M1,1,0,DisGeNET,35,Precancerous Conditions,,-3.4,8,5.6,30304,471,40,5,12,5.2,864|2122|2146|3479|23213,RUNX3|MECOM|EZH2|IGF1|SULF1,-1,0
1,-3.4,C0024301,M1,1,0,DisGeNET,35,"Lymphoma, Follicular",,-3.4,7.9,5.6,30304,477,40,5,12,5.2,639|2146|6660|9242|10365,PRDM1|EZH2|SOX5|MSC|KLF2,-1,0
1,-3.4,C1306710,M1,1,0,DisGeNET,35,Facial asymmetry,,-3.4,21,7.5,30304,109,40,3,7.5,4.2,2138|6660|6938,EYA1|SOX5|TCF12,-1,0
1,-3.4,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-3.4,7.8,5.5,30304,485,40,5,12,5.2,639|864|2146|3479|51705,PRDM1|RUNX3|EZH2|IGF1|EMCN,-1,0
1,-3.3,C0027092,M1,1,0,DisGeNET,35,Myopia,,-3.3,7.7,5.5,30304,490,40,5,12,5.2,2078|2571|3479|6660|170691,ERG|GAD1|IGF1|SOX5|ADAMTS17,-1,0
