_MEMBER_data_imp_1 - 94.0-96.0,_MEMBER_data_imp_1 - 96.0-98.0,_MEMBER_data_imp_1 - 98.0-100.0,_LogP_data_imp_1 - 94.0-96.0,_LogP_data_imp_1 - 96.0-98.0,_LogP_data_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-5.1,-5.3,-2.3,GO:0002764,immune response-regulating signaling pathway,M111,3,0
1,1,1,-7.7,-5.1,-2.3,GO:0002252,immune effector process,M111,3,0
1,1,1,-7.1,-2.6,-4.5,GO:0060348,bone development,M111,3,0
1,1,1,-3.7,-5,-3.7,GO:0050769,positive regulation of neurogenesis,M111,3,0
1,1,1,-6,-3.5,-4,M8626,SIG BCR SIGNALING PATHWAY,M111,3,0
1,1,1,-2.8,-3.7,-7.2,GO:0072089,stem cell proliferation,M111,3,0
1,1,1,-3.6,-6.3,-4.4,GO:0045785,positive regulation of cell adhesion,M111,3,0
1,1,1,-3.7,-5.4,-3.6,GO:0032102,negative regulation of response to external stimulus,M111,3,0
1,1,1,-3.1,-2.3,-2.1,GO:0002704,negative regulation of leukocyte mediated immunity,M111,3,0
1,1,1,-3.8,-6.8,-4.9,GO:0001568,blood vessel development,M111,3,0
1,1,1,-2.8,-2.9,-2.7,M285,PID HNF3A PATHWAY,M111,3,0
1,1,1,-2.7,-4.1,-2,GO:0060562,epithelial tube morphogenesis,M111,3,0
1,1,1,-4.3,-3.5,-3.5,GO:0050670,regulation of lymphocyte proliferation,M111,3,0
1,1,1,-4.1,-2.7,-2.4,R-HSA-9012999,RHO GTPase cycle,M111,3,0
1,1,1,-5.5,-3.8,-2.1,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M111,3,0
1,1,1,-3.4,-6,-5,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,1,-2.9,-3.1,-3.6,WP4304,Oligodendrocyte specification and differentiation leading to myelin components for CNS,M111,3,0
1,1,1,-8.8,-9.5,-4.2,GO:0030217,T cell differentiation,M111,3,0
1,1,1,-5.3,-5.7,-5.1,GO:0061351,neural precursor cell proliferation,M111,3,0
1,1,1,-5.8,-8.6,-5.4,GO:0007423,sensory organ development,M111,3,0
1,1,1,-4,-2.6,-2.2,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,M111,3,0
1,1,1,-4.3,-4.3,-3.3,GO:0001763,morphogenesis of a branching structure,M111,3,0
1,1,1,-3.4,-5.9,-4,GO:0048469,cell maturation,M111,3,0
1,1,1,-3.3,-2.4,-7,GO:0050871,positive regulation of B cell activation,M111,3,0
1,1,1,-2.6,-2.6,-3.6,GO:0021960,anterior commissure morphogenesis,M111,3,0
1,1,1,-3.4,-3.7,-2.3,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",M111,3,0
1,1,1,-2.5,-3.2,-2.5,R-HSA-9013149,RAC1 GTPase cycle,M111,3,0
