_MEMBER_0.0,_MEMBER_1.0,_MEMBER_2.0,_MEMBER_3.0,_MEMBER_4.0,_LogP_0.0,_LogP_1.0,_LogP_2.0,_LogP_3.0,_LogP_4.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,0,-2.7,-2.3,-2.8,-3.1,0,GO:0006259,DNA metabolic process,M11110,4,0
1,1,1,1,0,-5.2,-6.1,-5.8,-3.2,0,GO:0006338,chromatin remodeling,M11110,4,0
1,1,1,0,0,-6,-3.4,-4.4,0,0,GO:0006366,transcription by RNA polymerase II,M11100,3,0
1,1,1,0,0,-2.1,-2.6,-3.4,0,0,GO:0042789,mRNA transcription by RNA polymerase II,M11100,3,0
1,1,1,0,0,-2.5,-4.7,-6.3,0,0,GO:0045814,"negative regulation of gene expression, epigenetic",M11100,3,0
1,1,1,0,0,-3.3,-2.5,-2.2,0,0,GO:0006281,DNA repair,M11100,3,0
0,1,1,1,0,0,-3.2,-2.4,-3.4,0,GO:0071897,DNA biosynthetic process,M01110,3,0
1,1,1,0,0,-7.7,-5,-4.8,0,0,GO:0006351,DNA-templated transcription,M11100,3,0
0,1,1,1,0,0,-2.4,-3.9,-2.2,0,GO:0009299,mRNA transcription,M01110,3,0
1,1,1,0,0,-2.7,-5.9,-4.2,0,0,GO:0031507,heterochromatin formation,M11100,3,0
1,1,1,0,0,-3.5,-5.2,-4.6,0,0,GO:0040029,epigenetic regulation of gene expression,M11100,3,0
1,0,1,0,0,-2.6,0,-2.1,0,0,GO:0006984,ER-nucleus signaling pathway,M10100,2,0
1,0,0,1,0,-2.6,0,0,-2.4,0,GO:0045648,positive regulation of erythrocyte differentiation,M10010,2,0
0,1,0,1,0,0,-3.5,0,-3,0,GO:0060260,regulation of transcription initiation by RNA polymerase II,M01010,2,0
0,1,0,1,0,0,-3.5,0,-2.5,0,GO:2000142,regulation of DNA-templated transcription initiation,M01010,2,0
0,0,1,1,0,0,0,-4.5,-2.2,0,GO:0016071,mRNA metabolic process,M00110,2,0
0,1,1,0,0,0,-2.2,-2.2,0,0,GO:0000731,DNA synthesis involved in DNA repair,M01100,2,0
1,1,0,0,0,-2.6,-2.4,0,0,0,GO:0035270,endocrine system development,M11000,2,0
0,1,0,1,0,0,-2.2,0,-2.1,0,GO:0034728,nucleosome organization,M01010,2,0
0,1,0,0,0,0,-2.7,0,0,0,GO:0060633,negative regulation of transcription initiation by RNA polymerase II,M01000,1,0
1,0,0,0,0,-2.4,0,0,0,0,GO:0045165,cell fate commitment,M10000,1,0
0,0,0,1,0,0,0,0,-2.2,0,GO:1902369,negative regulation of RNA catabolic process,M00010,1,0
0,1,0,0,0,0,-2.2,0,0,0,GO:0021591,ventricular system development,M01000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0070918,regulatory ncRNA processing,M10000,1,0
1,0,0,0,0,-2.4,0,0,0,0,GO:0006109,regulation of carbohydrate metabolic process,M10000,1,0
0,0,0,1,0,0,0,0,-2.5,0,GO:0001701,in utero embryonic development,M00010,1,0
0,0,0,1,0,0,0,0,-2.9,0,GO:0032210,regulation of telomere maintenance via telomerase,M00010,1,0
0,0,1,0,0,0,0,-2,0,0,GO:0060338,regulation of type I interferon-mediated signaling pathway,M00100,1,0
0,0,1,0,0,0,0,-3.3,0,0,GO:2000736,regulation of stem cell differentiation,M00100,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0043470,regulation of carbohydrate catabolic process,M10000,1,0
0,0,1,0,0,0,0,-2.4,0,0,GO:0048384,retinoic acid receptor signaling pathway,M00100,1,0
0,0,0,0,1,0,0,0,0,-2.1,GO:0003179,heart valve morphogenesis,M00001,1,0
0,1,0,0,0,0,-2.4,0,0,0,GO:2000143,negative regulation of DNA-templated transcription initiation,M01000,1,0
1,0,0,0,0,-4,0,0,0,0,GO:0080135,regulation of cellular response to stress,M10000,1,0
1,0,0,0,0,-2.1,0,0,0,0,GO:0010906,regulation of glucose metabolic process,M10000,1,0
0,1,0,0,0,0,-2.7,0,0,0,GO:1903925,response to bisphenol A,M01000,1,0
1,0,0,0,0,-2.7,0,0,0,0,GO:0035967,cellular response to topologically incorrect protein,M10000,1,0
0,1,0,0,0,0,-3,0,0,0,GO:0140719,constitutive heterochromatin formation,M01000,1,0
0,1,0,0,0,0,-2.5,0,0,0,GO:0043045,epigenetic programming of gene expression,M01000,1,0
1,0,0,0,0,-3.2,0,0,0,0,GO:0034620,cellular response to unfolded protein,M10000,1,0
0,0,0,1,0,0,0,0,-2.5,0,GO:1902373,negative regulation of mRNA catabolic process,M00010,1,0
0,1,0,0,0,0,-2.1,0,0,0,GO:0006352,DNA-templated transcription initiation,M01000,1,0
1,0,0,0,0,-2.5,0,0,0,0,GO:0021522,spinal cord motor neuron differentiation,M10000,1,0
1,0,0,0,0,-3.4,0,0,0,0,GO:0036500,ATF6-mediated unfolded protein response,M10000,1,0
0,0,0,1,0,0,0,0,-2.1,0,GO:2000278,regulation of DNA biosynthetic process,M00010,1,0
0,0,1,0,0,0,0,-2,0,0,GO:0032922,circadian regulation of gene expression,M00100,1,0
0,1,0,0,0,0,-2.7,0,0,0,GO:0070897,transcription preinitiation complex assembly,M01000,1,0
1,0,0,0,0,-4.6,0,0,0,0,GO:1905897,regulation of response to endoplasmic reticulum stress,M10000,1,0
1,0,0,0,0,-2.3,0,0,0,0,GO:0009792,embryo development ending in birth or egg hatching,M10000,1,0
0,0,1,0,0,0,0,-3.1,0,0,GO:0140888,interferon-mediated signaling pathway,M00100,1,0
1,0,0,0,0,-3,0,0,0,0,GO:0006368,transcription elongation by RNA polymerase II,M10000,1,0
1,0,0,0,0,-2.4,0,0,0,0,GO:0045721,negative regulation of gluconeogenesis,M10000,1,0
1,0,0,0,0,-2.8,0,0,0,0,GO:0090043,regulation of tubulin deacetylation,M10000,1,0
0,0,0,1,0,0,0,0,-2.9,0,GO:0032205,negative regulation of telomere maintenance,M00010,1,0
0,1,0,0,0,0,-3.4,0,0,0,GO:0048854,brain morphogenesis,M01000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0031943,regulation of glucocorticoid metabolic process,M10000,1,0
0,0,1,0,0,0,0,-2.6,0,0,GO:0071498,cellular response to fluid shear stress,M00100,1,0
0,1,0,0,0,0,-4.8,0,0,0,GO:0065004,protein-DNA complex assembly,M01000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0043587,tongue morphogenesis,M10000,1,0
0,0,1,0,0,0,0,-3.7,0,0,GO:0098935,dendritic transport,M00100,1,0
0,0,0,1,0,0,0,0,-2.1,0,GO:0007548,sex differentiation,M00010,1,0
0,0,0,1,0,0,0,0,-2.3,0,GO:0006282,regulation of DNA repair,M00010,1,0
1,0,0,0,0,-2.8,0,0,0,0,GO:0006986,response to unfolded protein,M10000,1,0
0,1,0,0,0,0,-2,0,0,0,GO:0006334,nucleosome assembly,M01000,1,0
0,0,0,1,0,0,0,0,-2.4,0,GO:0032823,regulation of natural killer cell differentiation,M00010,1,0
0,0,0,1,0,0,0,0,-2.3,0,GO:0001825,blastocyst formation,M00010,1,0
0,1,0,0,0,0,-2,0,0,0,GO:0071514,genomic imprinting,M01000,1,0
0,1,0,0,0,0,-3.4,0,0,0,GO:0097284,hepatocyte apoptotic process,M01000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0031053,primary miRNA processing,M10000,1,0
1,0,0,0,0,-2,0,0,0,0,GO:0034101,erythrocyte homeostasis,M10000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0030218,erythrocyte differentiation,M10000,1,0
0,0,0,1,0,0,0,0,-2.5,0,GO:2000781,positive regulation of double-strand break repair,M00010,1,0
0,0,1,0,0,0,0,-2,0,0,GO:0045943,positive regulation of transcription by RNA polymerase I,M00100,1,0
0,1,0,0,0,0,-3.4,0,0,0,GO:0006346,DNA methylation-dependent constitutive heterochromatin formation,M01000,1,0
0,0,0,1,0,0,0,0,-2.6,0,GO:0048255,mRNA stabilization,M00010,1,0
1,0,0,0,0,-2,0,0,0,0,GO:0006111,regulation of gluconeogenesis,M10000,1,0
1,0,0,0,0,-2.1,0,0,0,0,GO:1902459,positive regulation of stem cell population maintenance,M10000,1,0
0,0,0,1,0,0,0,0,-3.4,0,GO:0001824,blastocyst development,M00010,1,0
0,1,0,0,0,0,-2.7,0,0,0,GO:0009791,post-embryonic development,M01000,1,0
1,0,0,0,0,-2.8,0,0,0,0,GO:0090311,regulation of protein deacetylation,M10000,1,0
0,0,1,0,0,0,0,-2.4,0,0,GO:1904753,negative regulation of vascular associated smooth muscle cell migration,M00100,1,0
1,0,0,0,0,-2.7,0,0,0,0,GO:0019216,regulation of lipid metabolic process,M10000,1,0
0,1,0,0,0,0,-2.2,0,0,0,GO:0006360,transcription by RNA polymerase I,M01000,1,0
0,0,0,1,0,0,0,0,-2.5,0,GO:1904356,regulation of telomere maintenance via telomere lengthening,M00010,1,0
0,0,1,0,0,0,0,-2.1,0,0,GO:0048715,negative regulation of oligodendrocyte differentiation,M00100,1,0
0,0,0,1,0,0,0,0,-3.4,0,GO:0032211,negative regulation of telomere maintenance via telomerase,M00010,1,0
1,0,0,0,0,-3,0,0,0,0,GO:0006354,DNA-templated transcription elongation,M10000,1,0
0,0,1,0,0,0,0,-2.4,0,0,GO:0007398,ectoderm development,M00100,1,0
1,0,0,0,0,-3.4,0,0,0,0,GO:1900037,regulation of cellular response to hypoxia,M10000,1,0
0,1,0,0,0,0,-2.4,0,0,0,GO:0010833,telomere maintenance via telomere lengthening,M01000,1,0
1,0,0,0,0,-2.3,0,0,0,0,GO:0045739,positive regulation of DNA repair,M10000,1,0
0,0,0,1,0,0,0,0,-3.1,0,GO:1904357,negative regulation of telomere maintenance via telomere lengthening,M00010,1,0
0,0,0,1,0,0,0,0,-2.1,0,GO:1903312,negative regulation of mRNA metabolic process,M00010,1,0
0,0,0,1,0,0,0,0,-2.5,0,GO:2000279,negative regulation of DNA biosynthetic process,M00010,1,0
0,1,0,0,0,0,-2.7,0,0,0,GO:1903943,regulation of hepatocyte apoptotic process,M01000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0045454,cell redox homeostasis,M10000,1,0
0,1,0,0,0,0,-4.8,0,0,0,GO:0071824,protein-DNA complex organization,M01000,1,0
0,0,0,1,0,0,0,0,-2.4,0,GO:0043489,RNA stabilization,M00010,1,0
0,0,0,1,0,0,0,0,-2.7,0,GO:0051052,regulation of DNA metabolic process,M00010,1,0
0,0,0,1,0,0,0,0,-2.2,0,GO:0006007,glucose catabolic process,M00010,1,0
0,0,1,0,0,0,0,-2.1,0,0,GO:0010874,regulation of cholesterol efflux,M00100,1,0
0,0,0,0,1,0,0,0,0,-2.4,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,M00001,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:2000288,positive regulation of myoblast proliferation,M10000,1,0
0,1,0,0,0,0,-2.7,0,0,0,GO:1903944,negative regulation of hepatocyte apoptotic process,M01000,1,0
1,0,0,0,0,-3.9,0,0,0,0,GO:0030968,endoplasmic reticulum unfolded protein response,M10000,1,0
1,0,0,0,0,-2.9,0,0,0,0,GO:0006383,transcription by RNA polymerase III,M10000,1,0
1,0,0,0,0,-2.3,0,0,0,0,GO:2000036,regulation of stem cell population maintenance,M10000,1,0
0,0,1,0,0,0,0,-2.9,0,0,GO:1901532,regulation of hematopoietic progenitor cell differentiation,M00100,1,0
1,0,0,0,0,-2.3,0,0,0,0,GO:0043009,chordate embryonic development,M10000,1,0
0,0,1,0,0,0,0,-2.3,0,0,GO:0071357,cellular response to type I interferon,M00100,1,0
0,0,0,1,0,0,0,0,-2.4,0,GO:0060218,hematopoietic stem cell differentiation,M00010,1,0
1,0,0,0,0,-2.5,0,0,0,0,GO:1905564,positive regulation of vascular endothelial cell proliferation,M10000,1,0
0,0,0,1,0,0,0,0,-2.1,0,GO:0043488,regulation of mRNA stability,M00010,1,0
0,0,1,0,0,0,0,-2,0,0,GO:0045686,negative regulation of glial cell differentiation,M00100,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:2000291,regulation of myoblast proliferation,M10000,1,0
1,0,0,0,0,-2.3,0,0,0,0,GO:0019218,regulation of steroid metabolic process,M10000,1,0
0,1,0,0,0,0,-2.5,0,0,0,GO:0051151,negative regulation of smooth muscle cell differentiation,M01000,1,0
0,0,1,0,0,0,0,-2,0,0,GO:0060333,type II interferon-mediated signaling pathway,M00100,1,0
0,0,1,0,0,0,0,-3.8,0,0,GO:1902036,regulation of hematopoietic stem cell differentiation,M00100,1,0
0,0,0,1,0,0,0,0,-2.4,0,GO:0033028,myeloid cell apoptotic process,M00010,1,0
1,0,0,0,0,-2.5,0,0,0,0,GO:0060612,adipose tissue development,M10000,1,0
1,0,0,0,0,-2.4,0,0,0,0,GO:0035966,response to topologically incorrect protein,M10000,1,0
0,0,1,0,0,0,0,-2.3,0,0,GO:0060337,type I interferon-mediated signaling pathway,M00100,1,0
