_MEMBER_M19050.Micro,_MEMBER_M19050.OPC,_MEMBER_M19050.Oligo,_MEMBER_M59593.Micro,_MEMBER_M59593.OPC,_MEMBER_M59593.Oligo,_MEMBER_Specific,_LogP_M19050.Micro,_LogP_M19050.OPC,_LogP_M19050.Oligo,_LogP_M59593.Micro,_LogP_M59593.OPC,_LogP_M59593.Oligo,_LogP_Specific,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,0,0,1,0,0,0,0,0,0,-12,C0025362,M0000001,1,0,DisGeNET,35,Mental Retardation,,-12,7.5,11,30304,504,168,21,12,2.6,1745|2296|2321|3479|4155|4208|4983|5080|5456|6886|6925|6926|6938|9037|9839|23543|55636|57477|81704|93986|170302,DLX1|FOXC1|FLT1|IGF1|MBP|MEF2C|OPHN1|PAX6|POU3F4|TAL1|TCF4|TBX3|TCF12|SEMA5A|ZEB2|RBFOX2|CHD7|SHROOM4|DOCK8|FOXP2|ARX,-9,0
1,0,0,0,0,0,1,-2.5,0,0,0,0,0,-12,C1961099,M1000001,2,0,DisGeNET,35,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,,-12,6.4,10,30304,644,168,23,14,2.7,860|1390|2078|2113|2122|2322|3479|3516|3727|4208|4602|4854|5080|5788|6886|6935|7101|9839|9935|10215|10320|26040|63976,RUNX2|CREM|ERG|ETS1|MECOM|FLT3|IGF1|RBPJ|JUND|MEF2C|MYB|NOTCH3|PAX6|PTPRC|TAL1|ZEB1|NR2E1|ZEB2|MAFB|OLIG2|IKZF1|SETBP1|PRDM16,-8.7,0
0,1,0,0,1,0,1,0,-2.5,0,0,-3.1,0,-11,C0410702,M0100101,3,0,DisGeNET,35,Adolescent idiopathic scoliosis,,-11,6,9.8,30304,656,168,22,13,2.6,860|3479|4773|5137|6095|8631|9586|9745|11174|23007|23022|23143|55553|55636|56243|56934|79698|81704|121551|137970|143872|644192,RUNX2|IGF1|NFATC2|PDE1C|RORA|SKAP1|CREB5|ZNF536|ADAMTS6|PLCH1|PALLD|LRCH1|SOX6|CHD7|KIAA1217|CA10|ZMAT4|DOCK8|ABTB3|UNC5D|ARHGAP42|NR2F2-AS1,-7.9,0
1,0,0,1,0,0,1,-3.5,0,0,-2.1,0,0,-11,C0200638,M1001001,3,0,DisGeNET,35,Eosinophil count procedure,,-11,6.2,9.7,30304,610,168,21,12,2.6,860|864|1523|1902|2078|2113|2308|2322|3727|4773|5337|5452|5788|5915|6095|9586|10320|30009|55636|81704|84969,RUNX2|RUNX3|CUX1|LPAR1|ERG|ETS1|FOXO1|FLT3|JUND|NFATC2|PLD1|POU2F2|PTPRC|RARB|RORA|CREB5|IKZF1|TBX21|CHD7|DOCK8|TOX2,-7.7,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-10,C0014772,M0000001,1,0,DisGeNET,35,Red Blood Cell Count measurement,,-10,5.5,9.2,30304,717,168,22,13,2.6,2034|2078|2122|3131|4208|4602|4773|5629|5788|6095|6886|7068|7942|9839|10320|11214|30009|53335|55553|63976|84969|169792,EPAS1|ERG|MECOM|HLF|MEF2C|MYB|NFATC2|PROX1|PTPRC|RORA|TAL1|THRB|TFEB|ZEB2|IKZF1|AKAP13|TBX21|BCL11A|SOX6|PRDM16|TOX2|GLIS3,-7.3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-10,C0424605,M0000001,1,0,DisGeNET,35,Developmental delay (disorder),,-10,6.2,9.4,30304,584,168,20,12,2.5,1523|2296|3479|3786|4155|4208|4810|4983|5080|5137|6660|6925|6938|7450|9734|11174|26040|53335|93986|170302,CUX1|FOXC1|IGF1|KCNQ3|MBP|MEF2C|NHS|OPHN1|PAX6|PDE1C|SOX5|TCF4|TCF12|VWF|HDAC9|ADAMTS6|SETBP1|BCL11A|FOXP2|ARX,-7.3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-9.8,C0008073,M0000001,1,0,DisGeNET,35,Developmental Disabilities,,-9.8,8.1,10,30304,355,168,16,9.5,2.3,2296|3479|3786|4854|5080|5793|6663|6909|6925|6926|9839|26040|55636|81704|93986|170302,FOXC1|IGF1|KCNQ3|NOTCH3|PAX6|PTPRG|SOX10|TBX2|TCF4|TBX3|ZEB2|SETBP1|CHD7|DOCK8|FOXP2|ARX,-7.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-9.5,C0002170,M0000001,1,0,DisGeNET,35,Alopecia,,-9.5,6.6,9.4,30304,491,168,18,11,2.4,864|1112|1879|3479|3516|3663|3909|4306|4602|4983|6095|6573|6925|6938|9734|26040|54345|55636,RUNX3|FOXN3|EBF1|IGF1|RBPJ|IRF5|LAMA3|NR3C2|MYB|OPHN1|RORA|SLC19A1|TCF4|TCF12|HDAC9|SETBP1|SOX18|CHD7,-6.8,0
0,0,0,0,0,1,1,0,0,0,0,0,-3.1,-9.4,C0205682,M0000011,2,0,DisGeNET,35,Waist-Hip Ratio,,-9.4,6.1,9.1,30304,565,168,19,11,2.4,1301|1523|2122|2296|3516|3782|4205|5337|5629|5793|5992|6095|7444|10082|11174|26040|56675|63976|116328,COL11A1|CUX1|MECOM|FOXC1|RBPJ|KCNN3|MEF2A|PLD1|PROX1|PTPRG|RFX4|RORA|VRK2|GPC6|ADAMTS6|SETBP1|NRIP3|PRDM16|C8orf34,-6.8,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-9.2,C0021704,M0000001,1,0,DisGeNET,35,Intelligence,,-9.2,5.6,8.8,30304,645,168,20,12,2.5,1007|1112|1301|1523|2078|2823|4208|5137|6095|6256|6925|7068|8631|9745|9839|11281|53335|80731|93986|138046,CDH9|FOXN3|COL11A1|CUX1|ERG|GPM6A|MEF2C|PDE1C|RORA|RXRA|TCF4|THRB|SKAP1|ZNF536|ZEB2|POU6F2|BCL11A|THSD7B|FOXP2|RALYL,-6.6,0
