_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-6.5,-8.7,-6.5,GO:0046649,lymphocyte activation,M111,3,0
1,1,1,-5,-2.3,-4.2,GO:1902895,positive regulation of miRNA transcription,M111,3,0
1,1,1,-2.4,-2.4,-2.9,GO:0050868,negative regulation of T cell activation,M111,3,0
1,1,1,-2,-3.4,-2,GO:0002292,T cell differentiation involved in immune response,M111,3,0
1,1,1,-6.1,-2.5,-2.9,GO:0001818,negative regulation of cytokine production,M111,3,0
1,1,1,-2.3,-3.2,-4.7,GO:0021537,telencephalon development,M111,3,0
1,1,1,-6.7,-9.8,-6.7,GO:0045321,leukocyte activation,M111,3,0
1,1,1,-3.3,-3.3,-3.9,GO:0001708,cell fate specification,M111,3,0
1,1,1,-3.3,-2.6,-2.6,GO:0071363,cellular response to growth factor stimulus,M111,3,0
1,1,1,-2.1,-3.5,-2.1,GO:0002287,alpha-beta T cell activation involved in immune response,M111,3,0
1,1,1,-2.6,-7.1,-3.4,GO:0002252,immune effector process,M111,3,0
1,1,1,-2.6,-3.1,-3.1,R-HSA-9824443,Parasitic Infection Pathways,M111,3,0
1,1,1,-3.6,-2.9,-3.2,GO:0070848,response to growth factor,M111,3,0
1,1,1,-2.4,-2.9,-3.8,GO:0050870,positive regulation of T cell activation,M111,3,0
1,1,1,-3.7,-2.2,-2.2,WP5098,T cell activation SARS CoV 2,M111,3,0
1,1,1,-2.4,-2.4,-3.4,R-HSA-2871796,FCERI mediated MAPK activation,M111,3,0
1,1,1,-5.3,-6.5,-5.9,GO:0030099,myeloid cell differentiation,M111,3,0
1,1,1,-2.5,-3.4,-5.1,GO:0045619,regulation of lymphocyte differentiation,M111,3,0
1,1,1,-3.9,-6.6,-8.7,GO:0002694,regulation of leukocyte activation,M111,3,0
1,1,1,-2.7,-4.7,-2.1,GO:0046632,alpha-beta T cell differentiation,M111,3,0
1,1,1,-4.2,-5.1,-6.6,GO:1903706,regulation of hemopoiesis,M111,3,0
1,1,1,-6.8,-7.4,-6.8,GO:0002521,leukocyte differentiation,M111,3,0
1,1,1,-3.3,-2.7,-3.3,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-4.1,-7.6,-7.6,GO:0050865,regulation of cell activation,M111,3,0
1,1,1,-2.1,-2.1,-2.1,GO:0071695,anatomical structure maturation,M111,3,0
1,1,1,-8.2,-9.7,-9.2,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-2.6,-3.9,-6.6,GO:0051251,positive regulation of lymphocyte activation,M111,3,0
1,1,1,-2.5,-2.5,-3.5,GO:0051250,negative regulation of lymphocyte activation,M111,3,0
1,1,1,-4.5,-4.5,-5.3,R-HSA-1280215,Cytokine Signaling in Immune system,M111,3,0
1,1,1,-2.6,-3,-3,GO:0045785,positive regulation of cell adhesion,M111,3,0
1,1,1,-2.8,-3.3,-3.9,GO:0050728,negative regulation of inflammatory response,M111,3,0
1,1,1,-2.4,-4,-3.2,M7,PID FCER1 PATHWAY,M111,3,0
1,1,1,-2.4,-3.7,-3.7,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-2,-5,-5,GO:0046631,alpha-beta T cell activation,M111,3,0
1,1,1,-2.9,-2.9,-2.2,GO:0046638,positive regulation of alpha-beta T cell differentiation,M111,3,0
1,1,1,-2.6,-5,-3.7,GO:0002573,myeloid leukocyte differentiation,M111,3,0
1,1,1,-4.2,-4.7,-4.7,GO:0045637,regulation of myeloid cell differentiation,M111,3,0
1,1,1,-2.2,-2.2,-2.2,GO:0090103,cochlea morphogenesis,M111,3,0
1,1,1,-2.6,-3.1,-3.1,R-HSA-9658195,Leishmania infection,M111,3,0
1,1,1,-3.7,-3.7,-3.2,GO:0022408,negative regulation of cell-cell adhesion,M111,3,0
1,1,1,-2.9,-3.4,-5.8,GO:1902105,regulation of leukocyte differentiation,M111,3,0
1,1,1,-2.7,-4.1,-3.6,GO:0019221,cytokine-mediated signaling pathway,M111,3,0
1,1,1,-3.5,-4,-4,GO:0050866,negative regulation of cell activation,M111,3,0
1,1,1,-4,-5.1,-5.1,GO:0030217,T cell differentiation,M111,3,0
1,1,1,-2.3,-3.1,-5,WP286,IL 3 signaling pathway,M111,3,0
1,1,1,-3,-2.2,-2.6,GO:0051090,regulation of DNA-binding transcription factor activity,M111,3,0
1,1,1,-2.6,-5.9,-2.6,GO:0002250,adaptive immune response,M111,3,0
1,1,1,-7.9,-6.7,-6.1,GO:1903131,mononuclear cell differentiation,M111,3,0
1,1,1,-6.6,-5.4,-4.4,GO:0030098,lymphocyte differentiation,M111,3,0
1,1,1,-3.2,-3.6,-5.6,GO:0050863,regulation of T cell activation,M111,3,0
1,1,1,-4.6,-2.3,-4.6,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,1,-5.5,-4,-7.8,GO:0045165,cell fate commitment,M111,3,0
1,1,1,-3.1,-5.1,-3.1,hsa04380,Osteoclast differentiation,M111,3,0
1,1,1,-2.2,-5.3,-6.9,GO:0050867,positive regulation of cell activation,M111,3,0
1,1,1,-6.8,-11,-8.3,GO:0001775,cell activation,M111,3,0
1,1,1,-2,-2.5,-3.1,GO:0046634,regulation of alpha-beta T cell activation,M111,3,0
1,1,1,-2.5,-2,-2.5,GO:0048469,cell maturation,M111,3,0
1,1,1,-2,-3.4,-3.7,GO:0035239,tube morphogenesis,M111,3,0
1,1,1,-2.6,-4.5,-3.7,GO:0001819,positive regulation of cytokine production,M111,3,0
1,1,1,-4.9,-2.5,-3.4,GO:0045596,negative regulation of cell differentiation,M111,3,0
1,1,1,-2.2,-2.7,-4.4,GO:0045580,regulation of T cell differentiation,M111,3,0
1,1,1,-2.8,-3.9,-5.2,WP5434,Pathways in cancer,M111,3,0
1,1,1,-2.9,-3.7,-2.2,GO:0002763,positive regulation of myeloid leukocyte differentiation,M111,3,0
1,1,1,-3.5,-3.9,-4.7,GO:0048598,embryonic morphogenesis,M111,3,0
1,1,1,-2.9,-4.1,-7.9,GO:0001501,skeletal system development,M111,3,0
1,1,1,-2.1,-2.4,-2.4,GO:0007507,heart development,M111,3,0
1,1,1,-3.6,-6.4,-4.9,GO:0010720,positive regulation of cell development,M111,3,0
1,1,1,-2.2,-2.2,-2.9,M34,PID TCR PATHWAY,M111,3,0
1,1,1,-2,-2,-2,GO:0043031,negative regulation of macrophage activation,M111,3,0
1,1,1,-2.2,-3.6,-5.2,GO:0050778,positive regulation of immune response,M111,3,0
1,1,1,-2.1,-3.5,-2.1,GO:0002293,alpha-beta T cell differentiation involved in immune response,M111,3,0
1,1,1,-2.9,-3.4,-5.7,hsa05202,Transcriptional misregulation in cancer,M111,3,0
1,1,1,-2.2,-3.7,-7.4,WP4149,White fat cell differentiation,M111,3,0
1,1,1,-3.4,-6.6,-6.6,GO:0042110,T cell activation,M111,3,0
1,1,1,-3,-2.4,-2.4,GO:0046637,regulation of alpha-beta T cell differentiation,M111,3,0
1,1,1,-3.6,-4.5,-3.6,GO:0032102,negative regulation of response to external stimulus,M111,3,0
1,1,1,-2.7,-3.2,-2.2,WP5083,Neuroinflammation and glutamatergic signaling,M111,3,0
1,1,1,-5.2,-7.8,-9.3,GO:0008283,cell population proliferation,M111,3,0
1,1,1,-2.1,-2.1,-2.1,R-HSA-8878159,Transcriptional regulation by RUNX3,M111,3,0
1,1,1,-3.2,-4.4,-6.8,GO:0002683,negative regulation of immune system process,M111,3,0
1,1,1,-2.1,-2.1,-3.7,GO:0060348,bone development,M111,3,0
1,1,1,-4.6,-3.2,-4.6,GO:0061351,neural precursor cell proliferation,M111,3,0
1,1,1,-2.7,-2.7,-3.7,M88,PID CD8 TCR PATHWAY,M111,3,0
1,1,1,-2.1,-3.2,-4.5,GO:0045621,positive regulation of lymphocyte differentiation,M111,3,0
1,1,1,-3.9,-4.4,-2.7,GO:0009611,response to wounding,M111,3,0
1,1,1,-3.1,-3.9,-2.4,GO:1901699,cellular response to nitrogen compound,M111,3,0
1,1,1,-2.7,-4.3,-2,GO:0071417,cellular response to organonitrogen compound,M111,3,0
1,1,1,-2.5,-2.5,-3.3,M28,PID IL4 2PATHWAY,M111,3,0
1,1,1,-4.4,-3,-2.6,GO:0007162,negative regulation of cell adhesion,M111,3,0
1,1,1,-3.8,-3.8,-3.8,GO:0045639,positive regulation of myeloid cell differentiation,M111,3,0
1,1,1,-2.6,-2.2,-4,GO:0007167,enzyme-linked receptor protein signaling pathway,M111,3,0
1,1,1,-3.2,-4.7,-5.5,GO:0071345,cellular response to cytokine stimulus,M111,3,0
1,1,1,-2.5,-2.5,-3.8,GO:0045444,fat cell differentiation,M111,3,0
1,1,1,-4.6,-2,-3.9,GO:2000630,positive regulation of miRNA metabolic process,M111,3,0
1,1,1,-2.1,-6,-2.7,GO:0002285,lymphocyte activation involved in immune response,M111,3,0
1,1,1,-2.1,-2.8,-5.9,GO:0048562,embryonic organ morphogenesis,M111,3,0
1,1,1,-2.5,-3.6,-2.9,GO:0071396,cellular response to lipid,M111,3,0
1,1,1,-3.8,-3.8,-4.3,GO:1903708,positive regulation of hemopoiesis,M111,3,0
1,1,1,-2.3,-4.2,-8.1,GO:0048568,embryonic organ development,M111,3,0
1,1,1,-4.8,-5.2,-3.9,GO:0022407,regulation of cell-cell adhesion,M111,3,0
1,1,1,-3.7,-5.1,-4.6,R-HSA-449147,Signaling by Interleukins,M111,3,0
1,1,1,-2.4,-3.1,-2,GO:0032870,cellular response to hormone stimulus,M111,3,0
1,1,1,-2,-2,-4,GO:0001568,blood vessel development,M111,3,0
1,1,1,-2.2,-2.8,-3.5,GO:0046635,positive regulation of alpha-beta T cell activation,M111,3,0
1,1,1,-4.1,-4.1,-4.6,GO:1903037,regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-3,-4.5,-4.5,GO:0031348,negative regulation of defense response,M111,3,0
1,1,1,-2.6,-3.4,-3.4,GO:0022409,positive regulation of cell-cell adhesion,M111,3,0
1,1,1,-3.3,-3.3,-4.4,GO:0002695,negative regulation of leukocyte activation,M111,3,0
1,1,1,-3.8,-3.8,-4.3,GO:1902107,positive regulation of leukocyte differentiation,M111,3,0
1,1,1,-2.5,-2.9,-2,GO:0021700,developmental maturation,M111,3,0
1,1,1,-2.1,-4.7,-7.5,GO:0002696,positive regulation of leukocyte activation,M111,3,0
1,1,1,-3.4,-5.1,-6.6,GO:0051249,regulation of lymphocyte activation,M111,3,0
1,1,1,-2.7,-3.7,-5,hsa05200,Pathways in cancer,M111,3,0
1,1,1,-2.1,-2.8,-3.5,hsa04666,Fc gamma R-mediated phagocytosis,M111,3,0
1,1,1,-2.1,-2.7,-3.4,WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,M111,3,0
1,1,1,-3.1,-3.1,-2,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M111,3,0
1,1,1,-2.7,-2.7,-3.7,GO:0042088,T-helper 1 type immune response,M111,3,0
0,1,1,0,-4.1,-3.2,GO:0002697,regulation of immune effector process,M011,2,0
0,1,1,0,-2.3,-2.3,GO:0050853,B cell receptor signaling pathway,M011,2,0
0,1,1,0,-3,-2.2,GO:0009725,response to hormone,M011,2,0
1,1,0,-2.5,-2.5,0,GO:0002347,response to tumor cell,M110,2,0
1,1,0,-2.2,-2.8,0,GO:0034101,erythrocyte homeostasis,M110,2,0
1,1,0,-2.2,-5.8,0,GO:0002274,myeloid leukocyte activation,M110,2,0
1,1,0,-2.2,-3.3,0,GO:0060759,regulation of response to cytokine stimulus,M110,2,0
0,1,1,0,-4.7,-2.6,GO:0002286,T cell activation involved in immune response,M011,2,0
1,1,0,-2.9,-3.3,0,GO:0050767,regulation of neurogenesis,M110,2,0
0,1,1,0,-2.4,-3.5,GO:0070661,leukocyte proliferation,M011,2,0
1,0,1,-2.9,0,-2.9,GO:0002827,positive regulation of T-helper 1 type immune response,M101,2,0
1,0,1,-3.7,0,-2.1,M8,PID ENDOTHELIN PATHWAY,M101,2,0
