_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,C0265219,M1,1,0,DisGeNET,35,Miller Dieker syndrome,,-5.6,39,12,30304,182,17,4,24,10,2122|2146|9242|63976,MECOM|EZH2|MSC|PRDM16,-1.3,0
1,-5.3,C0024301,M1,1,0,DisGeNET,35,"Lymphoma, Follicular",,-5.3,19,9.2,30304,477,17,5,29,11,94|639|2146|9242|10365,ACVRL1|PRDM1|EZH2|MSC|KLF2,-1.3,0
1,-5.2,C0428883,M1,1,0,DisGeNET,35,Diastolic blood pressure,,-5.2,18,8.9,30304,507,17,5,29,11,2122|10365|55553|57194|63976,MECOM|KLF2|SOX6|ATP10A|PRDM16,-1.3,0
1,-4.6,C0432283,M1,1,0,DisGeNET,35,Osteoglophonic dwarfism,,-4.6,53,12,30304,100,17,3,18,9.2,2146|9242|10365,EZH2|MSC|KLF2,-0.93,0
1,-4.6,C0005940,M1,1,0,DisGeNET,35,Bone Diseases,,-4.6,22,9.1,30304,317,17,4,24,10,6452|9242|10365|63976,SH3BP2|MSC|KLF2|PRDM16,-0.93,0
1,-4.4,C3469521,M1,1,0,DisGeNET,35,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",,-4.4,20,8.5,30304,359,17,4,24,10,864|2122|2146|9242,RUNX3|MECOM|EZH2|MSC,-0.89,0
1,-4.4,C0027022,M1,1,0,DisGeNET,35,Myeloproliferative disease,,-4.4,20,8.4,30304,365,17,4,24,10,864|2122|2146|55553,RUNX3|MECOM|EZH2|SOX6,-0.89,0
1,-4.4,C1292778,M1,1,0,DisGeNET,35,Chronic myeloproliferative disorder,,-4.4,19,8.4,30304,366,17,4,24,10,864|2122|2146|9242,RUNX3|MECOM|EZH2|MSC,-0.89,0
1,-4.3,C0008626,M1,1,0,DisGeNET,35,Congenital chromosomal disease,,-4.3,12,7.1,30304,757,17,5,29,11,94|639|2122|2146|9242,ACVRL1|PRDM1|MECOM|EZH2|MSC,-0.89,0
1,-4.3,C2919945,M1,1,0,DisGeNET,35,Cavernous Hemangioma of Brain,,-4.3,42,11,30304,127,17,3,18,9.2,94|6256|10365,ACVRL1|RXRA|KLF2,-0.89,0
1,-4.2,C0015625,M1,1,0,DisGeNET,35,Fanconi Anemia,,-4.2,18,8.1,30304,393,17,4,24,10,864|2122|2146|9242,RUNX3|MECOM|EZH2|MSC,-0.83,0
1,-4,C0000846,M1,1,0,DisGeNET,35,Agenesis,,-4,33,9.7,30304,161,17,3,18,9.2,864|2122|9242,RUNX3|MECOM|MSC,-0.68,0
1,-3.9,C0039538,M1,1,0,DisGeNET,35,Teratoma,,-3.9,31,9.4,30304,171,17,3,18,9.2,6938|9242|10365,TCF12|MSC|KLF2,-0.66,0
1,-3.9,C2945695,M1,1,0,DisGeNET,35,Limb ischemia,,-3.9,31,9.4,30304,171,17,3,18,9.2,2146|9242|10365,EZH2|MSC|KLF2,-0.66,0
1,-3.9,C0202117,M1,1,0,DisGeNET,35,Low density lipoprotein cholesterol measurement,,-3.9,15,7.2,30304,483,17,4,24,10,2122|6256|6938|55553,MECOM|RXRA|TCF12|SOX6,-0.64,0
1,-3.9,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-3.9,15,7.2,30304,485,17,4,24,10,94|639|864|2146,ACVRL1|PRDM1|RUNX3|EZH2,-0.64,0
1,-3.8,C0221356,M1,1,0,DisGeNET,35,Brachycephaly,,-3.8,29,9,30304,186,17,3,18,9.2,2146|6938|63976,EZH2|TCF12|PRDM16,-0.62,0
1,-3.8,C0151779,M1,1,0,DisGeNET,35,Cutaneous Melanoma,,-3.8,14,7,30304,507,17,4,24,10,864|2146|6256|63976,RUNX3|EZH2|RXRA|PRDM16,-0.61,0
1,-3.7,C0220621,M1,1,0,DisGeNET,35,Childhood Acute Myeloid Leukemia,,-3.7,25,8.3,30304,215,17,3,18,9.2,864|2122|63976,RUNX3|MECOM|PRDM16,-0.51,0
1,-3.4,C0023465,M1,1,0,DisGeNET,35,Acute monocytic leukemia,,-3.4,11,6.2,30304,633,17,4,24,10,2122|2146|55553|63976,MECOM|EZH2|SOX6|PRDM16,-0.4,0
1,-3.4,C0023487,M1,1,0,DisGeNET,35,Acute Promyelocytic Leukemia,,-3.4,11,6.1,30304,651,17,4,24,10,2122|2146|6256|9242,MECOM|EZH2|RXRA|MSC,-0.4,0
1,-3.4,C0428474,M1,1,0,DisGeNET,35,Serum LDL cholesterol measurement,,-3.4,20,7.4,30304,269,17,3,18,9.2,2122|6256|55553,MECOM|RXRA|SOX6,-0.4,0
1,-3.3,C4284013,M1,1,0,DisGeNET,35,Primary cholangiocarcinoma of intrahepatic biliary tract,,-3.3,20,7.3,30304,274,17,3,18,9.2,864|2122|2146,RUNX3|MECOM|EZH2,-0.4,0
1,-3.3,C0003486,M1,1,0,DisGeNET,35,Aortic Aneurysm,,-3.3,19,7.2,30304,278,17,3,18,9.2,94|2146|9242,ACVRL1|EZH2|MSC,-0.4,0
1,-3.3,C0031099,M1,1,0,DisGeNET,35,Periodontitis,,-3.3,10,5.9,30304,680,17,4,24,10,639|6256|6452|6938,PRDM1|RXRA|SH3BP2|TCF12,-0.4,0
1,-3.3,C1850049,M1,1,0,DisGeNET,35,Clinodactyly of the 5th finger,,-3.3,19,7.2,30304,284,17,3,18,9.2,2122|6913|63976,MECOM|TBX15|PRDM16,-0.4,0
1,-3.3,C1333064,M1,1,0,DisGeNET,35,Classical Hodgkin's Lymphoma,,-3.3,19,7.1,30304,285,17,3,18,9.2,639|2146|9242,PRDM1|EZH2|MSC,-0.4,0
1,-3.3,C0085605,M1,1,0,DisGeNET,35,Liver Failure,,-3.3,18,7,30304,293,17,3,18,9.2,94|2146|9242,ACVRL1|EZH2|MSC,-0.38,0
1,-3.3,C0038013,M1,1,0,DisGeNET,35,Ankylosing spondylitis,,-3.3,10,5.8,30304,710,17,4,24,10,639|864|2122|9242,PRDM1|RUNX3|MECOM|MSC,-0.38,0
1,-3.2,C0038379,M1,1,0,DisGeNET,35,Strabismus,,-3.2,10,5.7,30304,716,17,4,24,10,2146|6913|6938|63976,EZH2|TBX15|TCF12|PRDM16,-0.38,0
1,-3.2,C0206180,M1,1,0,DisGeNET,35,Ki-1+ Anaplastic Large Cell Lymphoma,,-3.2,18,6.9,30304,300,17,3,18,9.2,94|639|2146,ACVRL1|PRDM1|EZH2,-0.37,0
1,-3.2,C2674608,M1,1,0,DisGeNET,35,Feeding difficulties in infancy,,-3.2,18,6.9,30304,305,17,3,18,9.2,2146|6452|63976,EZH2|SH3BP2|PRDM16,-0.36,0
1,-3.1,C0221354,M1,1,0,DisGeNET,35,Frontal bossing,,-3.1,17,6.7,30304,321,17,3,18,9.2,6913|6938|63976,TBX15|TCF12|PRDM16,-0.33,0
1,-3.1,C0220620,M1,1,0,DisGeNET,35,Gastrointestinal Carcinoid Tumor,,-3.1,17,6.7,30304,323,17,3,18,9.2,639|864|2146,PRDM1|RUNX3|EZH2,-0.33,0
1,-3.1,C0027796,M1,1,0,DisGeNET,35,Neuralgia,,-3.1,9.3,5.5,30304,766,17,4,24,10,864|2146|6938|9242,RUNX3|EZH2|TCF12|MSC,-0.33,0
