_MEMBER_att_D_AD_1 - 0.9-1.1,_MEMBER_att_D_AD_1 - 4.5-5.5,_MEMBER_att_D_AD_1 - 9.0-11.0,_LogP_att_D_AD_1 - 0.9-1.1,_LogP_att_D_AD_1 - 4.5-5.5,_LogP_att_D_AD_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-6.4,-3.5,-2.8,GO:0045637,regulation of myeloid cell differentiation,M111,3,0
1,1,1,-3.4,-2.8,-2.3,GO:0045598,regulation of fat cell differentiation,M111,3,0
1,1,1,-9.1,-4.6,-2.6,GO:0002521,leukocyte differentiation,M111,3,0
1,1,1,-7.1,-3.5,-2.4,GO:0001501,skeletal system development,M111,3,0
1,1,1,-9.7,-3.9,-2.6,GO:0061448,connective tissue development,M111,3,0
1,1,1,-8.8,-8.3,-3.3,GO:0048568,embryonic organ development,M111,3,0
1,1,1,-9.8,-3.3,-5.1,GO:0006351,DNA-templated transcription,M111,3,0
1,1,1,-9.8,-5.9,-2.4,GO:1902893,regulation of miRNA transcription,M111,3,0
1,1,1,-7,-5.6,-2.5,GO:0030099,myeloid cell differentiation,M111,3,0
1,1,1,-8.5,-6.3,-3.6,GO:1903706,regulation of hemopoiesis,M111,3,0
1,1,1,-13,-6.5,-3.4,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-9.6,-3.3,-5,GO:0032774,RNA biosynthetic process,M111,3,0
1,1,1,-5.1,-3.4,-4.1,GO:0008283,cell population proliferation,M111,3,0
1,1,1,-9.7,-5.6,-2.3,GO:2000628,regulation of miRNA metabolic process,M111,3,0
1,1,1,-5.8,-2.5,-3.7,M285,PID HNF3A PATHWAY,M111,3,0
1,1,1,-2.8,-2.1,-2.4,GO:0048469,cell maturation,M111,3,0
1,1,1,-10,-3.4,-2.7,hsa05202,Transcriptional misregulation in cancer,M111,3,0
1,1,1,-4.2,-2.8,-2.9,GO:0048705,skeletal system morphogenesis,M111,3,0
1,1,1,-8.2,-4.8,-2.1,GO:0043009,chordate embryonic development,M111,3,0
1,1,1,-11,-5.8,-2.3,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,1,-7.9,-4.8,-2.1,GO:0009792,embryo development ending in birth or egg hatching,M111,3,0
1,1,0,-2.6,-3.8,0,GO:0031076,embryonic camera-type eye development,M110,2,0
1,1,0,-4.7,-3.1,0,WP4216,Chromosomal and microsatellite instability in colorectal cancer,M110,2,0
1,1,0,-4.2,-4.3,0,GO:0045639,positive regulation of myeloid cell differentiation,M110,2,0
1,1,0,-3.5,-2.4,0,GO:0034612,response to tumor necrosis factor,M110,2,0
1,1,0,-6.1,-3.6,0,WP2853,Endoderm differentiation,M110,2,0
1,1,0,-7.3,-6.3,0,GO:0048598,embryonic morphogenesis,M110,2,0
1,1,0,-4.4,-2.2,0,GO:2000377,regulation of reactive oxygen species metabolic process,M110,2,0
1,1,0,-4.1,-4.7,0,GO:0071353,cellular response to interleukin-4,M110,2,0
1,1,0,-3.7,-2.7,0,WP2018,RANKL RANK signaling pathway,M110,2,0
1,1,0,-3.6,-2.2,0,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M110,2,0
1,1,0,-2.5,-2.1,0,GO:0021700,developmental maturation,M110,2,0
1,0,1,-6,0,-2.9,M195,PID CMYB PATHWAY,M101,2,0
1,1,0,-2.6,-2.6,0,GO:0009855,determination of bilateral symmetry,M110,2,0
1,1,0,-3.6,-2.2,0,hsa04310,Wnt signaling pathway,M110,2,0
1,1,0,-3.2,-2.5,0,WP5198,Inflammatory bowel disease signaling,M110,2,0
1,1,0,-3.4,-2.1,0,GO:0051251,positive regulation of lymphocyte activation,M110,2,0
1,1,0,-3.4,-4.6,0,GO:0045619,regulation of lymphocyte differentiation,M110,2,0
1,1,0,-3.5,-6,0,GO:0035239,tube morphogenesis,M110,2,0
1,1,0,-4.7,-2.5,0,hsa05417,Lipid and atherosclerosis,M110,2,0
1,1,0,-5.8,-2.8,0,GO:0071396,cellular response to lipid,M110,2,0
1,0,1,-6.6,0,-3.7,GO:0006366,transcription by RNA polymerase II,M101,2,0
1,1,0,-3.1,-3.1,0,WP382,MAPK signaling pathway,M110,2,0
1,1,0,-2.7,-2.1,0,GO:0071331,cellular response to hexose stimulus,M110,2,0
1,1,0,-6.3,-4.6,0,GO:1902895,positive regulation of miRNA transcription,M110,2,0
1,1,0,-2.7,-2.1,0,GO:2000379,positive regulation of reactive oxygen species metabolic process,M110,2,0
1,1,0,-4,-2.5,0,GO:0071375,cellular response to peptide hormone stimulus,M110,2,0
1,1,0,-3.7,-2.8,0,GO:0048704,embryonic skeletal system morphogenesis,M110,2,0
1,1,0,-2.3,-2.9,0,GO:0043523,regulation of neuron apoptotic process,M110,2,0
1,1,0,-4,-3.4,0,hsa05166,Human T-cell leukemia virus 1 infection,M110,2,0
1,1,0,-6.7,-3.5,0,GO:0071363,cellular response to growth factor stimulus,M110,2,0
1,1,0,-2.1,-2.1,0,WP5144,NRP1 triggered signaling pathways in pancreatic cancer,M110,2,0
1,1,0,-6.1,-2,0,WP5293,Acute myeloid leukemia,M110,2,0
1,0,1,-2.8,0,-3.1,GO:0045600,positive regulation of fat cell differentiation,M101,2,0
1,1,0,-2.4,-2.1,0,GO:0022409,positive regulation of cell-cell adhesion,M110,2,0
1,1,0,-7,-2.1,0,GO:0002520,immune system development,M110,2,0
1,1,0,-2.6,-2.6,0,GO:0009799,specification of symmetry,M110,2,0
1,1,0,-3.4,-5.6,0,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M110,2,0
1,1,0,-5.4,-2.9,0,WP2355,Corticotropin releasing hormone signaling pathway,M110,2,0
1,1,0,-4.5,-2.1,0,WP2882,Nuclear receptors meta pathway,M110,2,0
1,1,0,-3.8,-2.6,0,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,M110,2,0
1,1,0,-2.2,-2.4,0,GO:0007548,sex differentiation,M110,2,0
1,1,0,-2.5,-3.1,0,WP2849,Hematopoietic stem cell differentiation,M110,2,0
1,1,0,-2.7,-2.8,0,GO:0048863,stem cell differentiation,M110,2,0
1,1,0,-5.3,-2.4,0,GO:1902894,negative regulation of miRNA transcription,M110,2,0
1,1,0,-2.5,-3.9,0,GO:0045621,positive regulation of lymphocyte differentiation,M110,2,0
1,1,0,-2.9,-2.2,0,GO:0009952,anterior/posterior pattern specification,M110,2,0
1,1,0,-3.9,-2.8,0,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,M110,2,0
1,1,0,-3.3,-2.4,0,hsa04928,"Parathyroid hormone synthesis, secretion and action",M110,2,0
1,1,0,-2.7,-2.1,0,GO:0002292,T cell differentiation involved in immune response,M110,2,0
1,1,0,-7.9,-4.6,0,M167,PID AP1 PATHWAY,M110,2,0
1,1,0,-2.9,-4.8,0,GO:1903708,positive regulation of hemopoiesis,M110,2,0
1,1,0,-8,-2.2,0,WP4149,White fat cell differentiation,M110,2,0
1,1,0,-6.2,-2.1,0,GO:0042110,T cell activation,M110,2,0
1,1,0,-7.4,-3.1,0,GO:1903131,mononuclear cell differentiation,M110,2,0
1,1,0,-8.3,-4.1,0,GO:0009725,response to hormone,M110,2,0
1,1,0,-7.9,-3.7,0,GO:0010720,positive regulation of cell development,M110,2,0
1,1,0,-3.9,-3.6,0,M235,PID TCR CALCIUM PATHWAY,M110,2,0
1,1,0,-2.5,-3.9,0,GO:0001503,ossification,M110,2,0
1,1,0,-3.5,-2.5,0,hsa04010,MAPK signaling pathway,M110,2,0
1,1,0,-4.8,-2.3,0,GO:0043434,response to peptide hormone,M110,2,0
1,1,0,-3.9,-4.9,0,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M110,2,0
1,1,0,-8,-2.3,0,GO:0060322,head development,M110,2,0
1,1,0,-7.5,-3.3,0,GO:0045596,negative regulation of cell differentiation,M110,2,0
1,1,0,-3.9,-4.6,0,GO:0070670,response to interleukin-4,M110,2,0
1,1,0,-2.5,-2.1,0,WP4262,Breast cancer pathway,M110,2,0
1,1,0,-6.7,-3.9,0,GO:0001701,in utero embryonic development,M110,2,0
1,1,0,-2.3,-2.8,0,GO:0001825,blastocyst formation,M110,2,0
1,1,0,-4.1,-2.1,0,WP399,Wnt signaling pathway and pluripotency,M110,2,0
1,0,1,-5.8,0,-3.5,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M101,2,0
1,1,0,-3.8,-2.3,0,GO:0040007,growth,M110,2,0
1,0,1,-2.1,0,-2.1,GO:0071695,anatomical structure maturation,M101,2,0
1,1,0,-3.4,-2.2,0,GO:0006954,inflammatory response,M110,2,0
1,1,0,-3,-2,0,WP428,Wnt signaling,M110,2,0
1,1,0,-5.8,-2.3,0,GO:1901699,cellular response to nitrogen compound,M110,2,0
1,1,0,-2,-3.5,0,GO:0061371,determination of heart left/right asymmetry,M110,2,0
1,1,0,-3.3,-4.3,0,GO:0007507,heart development,M110,2,0
1,1,0,-3.5,-5.2,0,GO:0045580,regulation of T cell differentiation,M110,2,0
1,1,0,-6.5,-2.2,0,GO:0019221,cytokine-mediated signaling pathway,M110,2,0
1,1,0,-3.5,-2.2,0,GO:0030900,forebrain development,M110,2,0
1,1,0,-5.3,-2.4,0,GO:2000629,negative regulation of miRNA metabolic process,M110,2,0
1,1,0,-9,-4.6,0,GO:0032870,cellular response to hormone stimulus,M110,2,0
1,1,0,-2.8,-2.2,0,GO:0002293,alpha-beta T cell differentiation involved in immune response,M110,2,0
1,1,0,-4.2,-2.7,0,GO:0050678,regulation of epithelial cell proliferation,M110,2,0
1,1,0,-6.6,-5,0,WP366,TGF beta signaling pathway,M110,2,0
1,1,0,-2.1,-2.6,0,GO:0048593,camera-type eye morphogenesis,M110,2,0
1,1,0,-3.5,-2.7,0,R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling,M110,2,0
1,1,0,-5.4,-2.1,0,GO:0030217,T cell differentiation,M110,2,0
1,1,0,-8.8,-4.1,0,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M110,2,0
1,1,0,-2.6,-5.3,0,GO:0061061,muscle structure development,M110,2,0
1,1,0,-6.3,-3.3,0,WP437,EGF EGFR signaling pathway,M110,2,0
1,1,0,-8.6,-2.4,0,WP706,Sudden infant death syndrome SIDS susceptibility pathways,M110,2,0
