_MEMBER_data_imp_1 - 94.0-96.0,_MEMBER_data_imp_1 - 96.0-98.0,_MEMBER_data_imp_1 - 98.0-100.0,_LogP_data_imp_1 - 94.0-96.0,_LogP_data_imp_1 - 96.0-98.0,_LogP_data_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-3.5,-2.2,-6,GO:0030098,lymphocyte differentiation,M111,3,0
1,1,1,-2.2,-2.5,-8.7,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-2.2,-2.2,-7,GO:0045596,negative regulation of cell differentiation,M111,3,0
1,1,1,-3,-2,-4.5,GO:0001819,positive regulation of cytokine production,M111,3,0
1,1,1,-2.8,-2.4,-6.1,GO:1903131,mononuclear cell differentiation,M111,3,0
1,1,1,-2.6,-2.6,-5.5,GO:0046649,lymphocyte activation,M111,3,0
1,0,1,-2.1,0,-3.2,GO:1903037,regulation of leukocyte cell-cell adhesion,M101,2,0
1,0,1,-2.3,0,-2.6,GO:0042327,positive regulation of phosphorylation,M101,2,0
0,1,1,0,-2,-2,GO:0098743,cell aggregation,M011,2,0
1,0,1,-3.5,0,-3.8,GO:0060322,head development,M101,2,0
1,0,1,-2.3,0,-3.5,GO:0007162,negative regulation of cell adhesion,M101,2,0
1,0,1,-2.5,0,-2.9,GO:0001701,in utero embryonic development,M101,2,0
0,1,1,0,-2.2,-3.6,GO:0045637,regulation of myeloid cell differentiation,M011,2,0
1,0,1,-4,0,-4,GO:0045165,cell fate commitment,M101,2,0
1,0,1,-2,0,-2,GO:1900006,positive regulation of dendrite development,M101,2,0
1,0,1,-2,0,-3.1,GO:0046631,alpha-beta T cell activation,M101,2,0
0,1,1,0,-3.1,-2.7,GO:0009725,response to hormone,M011,2,0
1,0,1,-2.2,0,-3.5,GO:0045665,negative regulation of neuron differentiation,M101,2,0
1,1,0,-2.7,-2.2,0,GO:0032680,regulation of tumor necrosis factor production,M110,2,0
1,1,0,-2.3,-2.2,0,GO:0050778,positive regulation of immune response,M110,2,0
