_MEMBER_AD Prioritization - 0.9-1.1%,_MEMBER_AD Prioritization - 4.5-5.5%,_MEMBER_AD Prioritization - 9.0-11.0%,_MEMBER_Data Prioritization - 0.9-1.1%,_MEMBER_Data Prioritization - 4.5-5.5%,_MEMBER_Data Prioritization - 9.0-11.0%,_MEMBER_M20337 - Micro - Data Prioritization,_MEMBER_M20337 - Micro - SCZ Prioritization,_MEMBER_M20337 - OPC - SCZ Prioritization,_MEMBER_M20337 - Oligo - AD Prioritization,_MEMBER_M20337 - Oligo - SCZ Prioritization,_MEMBER_M31969 - Micro - Data Prioritization,_MEMBER_M31969 - Micro - SCZ Prioritization,_MEMBER_M31969 - Oligo - AD Prioritization,_MEMBER_M31969 - Oligo - Data Prioritization,_MEMBER_M31969 - Oligo - SCZ Prioritization,_MEMBER_SCZ Prioritization - 0.9-1.1%,_MEMBER_SCZ Prioritization - 4.5-5.5%,_MEMBER_SCZ Prioritization - 9.0-11.0%,_LogP_AD Prioritization - 0.9-1.1%,_LogP_AD Prioritization - 4.5-5.5%,_LogP_AD Prioritization - 9.0-11.0%,_LogP_Data Prioritization - 0.9-1.1%,_LogP_Data Prioritization - 4.5-5.5%,_LogP_Data Prioritization - 9.0-11.0%,_LogP_M20337 - Micro - Data Prioritization,_LogP_M20337 - Micro - SCZ Prioritization,_LogP_M20337 - OPC - SCZ Prioritization,_LogP_M20337 - Oligo - AD Prioritization,_LogP_M20337 - Oligo - SCZ Prioritization,_LogP_M31969 - Micro - Data Prioritization,_LogP_M31969 - Micro - SCZ Prioritization,_LogP_M31969 - Oligo - AD Prioritization,_LogP_M31969 - Oligo - Data Prioritization,_LogP_M31969 - Oligo - SCZ Prioritization,_LogP_SCZ Prioritization - 0.9-1.1%,_LogP_SCZ Prioritization - 4.5-5.5%,_LogP_SCZ Prioritization - 9.0-11.0%,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,-6.9,-6.7,-4.6,-16,-10,-10,0,-2.8,0,-2.6,-2.1,-3.1,0,0,-2.9,0,-18,-7.9,-5.3,GO:0030097,hemopoiesis,M1111110101110010111,14,0
1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,-8.3,-2.4,-4.8,-13,-7.8,-6.1,-2.6,-3.5,0,-2.7,-2.2,0,0,0,0,0,-12,-6.1,-6.7,GO:0050865,regulation of cell activation,M1111111101100000111,13,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-4.6,-4,-3.1,-7.1,-4.9,-3.9,0,-4.6,0,-5.3,-2.1,0,0,0,0,0,-8.3,-3.9,-6.2,GO:0002697,regulation of immune effector process,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-9.7,-3.7,-5.3,-14,-7.9,-5.9,0,-4.9,0,-3.3,-2.3,0,0,0,0,0,-15,-5.1,-7.8,GO:0046649,lymphocyte activation,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-3.7,-3.5,-2.6,-4.8,-8,-5.1,0,-2.7,0,-7.5,-4.6,0,0,0,0,0,-5.6,-4.9,-5.5,GO:0002683,negative regulation of immune system process,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-9.8,-3.6,-7.2,-15,-8.2,-7.5,0,-3.9,0,-4.9,-4.4,0,0,0,0,0,-18,-5.9,-10,GO:0045321,leukocyte activation,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-3.5,-4.3,-3.5,-4.4,-2.4,-6.9,0,-2.2,0,-4.5,-6,0,0,0,0,0,-8.5,-2.7,-4.2,WP3945,TYROBP causal network in microglia,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-11,-3.6,-6.7,-17,-7.3,-6.1,0,-3.2,0,-5.1,-4.6,0,0,0,0,0,-18,-5.2,-9.8,GO:0001775,cell activation,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-6.7,-2.4,-5.1,-8.2,-4.4,-4.5,0,-5.1,0,-4.3,-2.4,0,0,0,0,0,-9.6,-3.6,-7.3,GO:0050863,regulation of T cell activation,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-5.5,-2.7,-4,-11,-5.2,-2.9,0,-4,0,-3.2,-2.2,0,0,0,0,0,-11,-2.6,-4.9,GO:0022407,regulation of cell-cell adhesion,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,-5.5,-2.8,-4.4,-9.1,-3.5,-4,0,-5.1,0,-4.3,-2.4,0,0,0,0,0,-9.1,-3.6,-6.6,GO:1903037,regulation of leukocyte cell-cell adhesion,M1111110101100000111,12,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,-6.6,-2.2,-3.4,-11,-3.6,-4.2,0,-2.6,0,-3.3,0,0,0,0,0,0,-12,-3.2,-4.4,GO:0042110,T cell activation,M1111110101000000111,11,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,-2.8,-3,-3.3,-3.5,-4.4,-3,0,-3.4,0,-2.2,0,0,0,0,0,0,-6.7,-2.6,-4.8,GO:0046637,regulation of alpha-beta T cell differentiation,M1111110101000000111,11,0
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,-5.8,-3.7,-4.3,-12,-5.4,-4.2,0,0,0,-2.6,-4.3,0,0,0,0,0,-13,-4.9,-6.5,R-HSA-449147,Signaling by Interleukins,M1111110001100000111,11,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,-5.4,-2.5,-3.1,-4.9,-3.4,-2.1,0,-4.7,0,-2.4,0,0,0,0,0,0,-11,-2.9,-4.6,GO:0046634,regulation of alpha-beta T cell activation,M1111110101000000111,11,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,-7.7,-2.2,-4.8,-11,-3.6,-2.8,0,-3.5,0,-2.2,0,0,0,0,0,0,-13,-3.4,-5.6,GO:0050867,positive regulation of cell activation,M1111110101000000111,11,0
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,-3.9,-4.2,-5.8,-9,-4.2,-4,0,0,0,-4.2,-2.3,0,0,0,0,0,-10,-8.4,-5.3,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M1111110001100000111,11,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,-5.2,-2.8,-3.9,-10,-6.8,-4.5,0,-2.3,0,-2.9,0,0,0,0,0,0,-14,-5.2,-5.2,GO:1903131,mononuclear cell differentiation,M1111110101000000111,11,0
1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,-3.3,-2.2,-3.8,-7.7,-4,-3.8,0,-2,0,0,0,0,0,0,-2.2,0,-4.6,-2.4,-4.6,GO:0009617,response to bacterium,M1111110100000010111,11,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,-7.5,-2.5,-4.6,-11,-4.1,-3.1,0,-3.7,0,-2.4,0,0,0,0,0,0,-13,-3.7,-5.9,GO:0002696,positive regulation of leukocyte activation,M1111110101000000111,11,0
