_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-2.1,-2.1,-2.1,M285,PID HNF3A PATHWAY,M111,3,0
1,1,1,-2.1,-2.6,-2,hsa04630,JAK-STAT signaling pathway,M111,3,0
1,1,1,-2.6,-2.6,-2,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M111,3,0
1,1,1,-2.2,-2.5,-4.8,WP5434,Pathways in cancer,M111,3,0
1,1,1,-2.1,-2.3,-4.6,hsa05200,Pathways in cancer,M111,3,0
1,1,1,-2.1,-3.1,-5.1,hsa04380,Osteoclast differentiation,M111,3,0
1,1,1,-2.5,-5.4,-2.5,R-HSA-1280215,Cytokine Signaling in Immune system,M111,3,0
1,1,1,-2.9,-5.6,-2.5,R-HSA-449147,Signaling by Interleukins,M111,3,0
1,1,1,-3.8,-2.3,-3.3,GO:0030029,actin filament-based process,M111,3,0
0,1,1,0,-2.4,-2,hsa04151,PI3K-Akt signaling pathway,M011,2,0
0,1,1,0,-2.5,-4.5,GO:0035265,organ growth,M011,2,0
0,1,1,0,-2.7,-3.5,GO:0055017,cardiac muscle tissue growth,M011,2,0
0,1,1,0,-2.6,-2,GO:0001568,blood vessel development,M011,2,0
0,1,1,0,-6.2,-2.6,GO:0045321,leukocyte activation,M011,2,0
0,1,1,0,-2.5,-2.4,GO:0001837,epithelial to mesenchymal transition,M011,2,0
1,1,0,-2.2,-2.2,0,R-HSA-9674555,Signaling by CSF3 (G-CSF),M110,2,0
1,1,0,-3,-2.3,0,GO:0045785,positive regulation of cell adhesion,M110,2,0
1,0,1,-2.3,0,-2.3,hsa05169,Epstein-Barr virus infection,M101,2,0
1,1,0,-2.4,-2.4,0,M7,PID FCER1 PATHWAY,M110,2,0
1,1,0,-3.9,-2,0,GO:0030036,actin cytoskeleton organization,M110,2,0
1,1,0,-2.5,-3.1,0,WP437,EGF EGFR signaling pathway,M110,2,0
1,1,0,-2.1,-2,0,GO:0051384,response to glucocorticoid,M110,2,0
1,1,0,-2.5,-2.5,0,WP395,IL 4 signaling pathway,M110,2,0
1,0,1,-2.3,0,-2.3,R-HSA-9843745,Adipogenesis,M101,2,0
0,1,1,0,-2.6,-3.6,R-HSA-109582,Hemostasis,M011,2,0
0,1,1,0,-2.2,-2.1,GO:0048762,mesenchymal cell differentiation,M011,2,0
1,0,1,-3.5,0,-3.9,hsa05166,Human T-cell leukemia virus 1 infection,M101,2,0
1,0,1,-2.3,0,-2.6,GO:0060537,muscle tissue development,M101,2,0
1,0,1,-2.7,0,-2.1,GO:0007420,brain development,M101,2,0
0,1,1,0,-3.1,-2.1,GO:0006954,inflammatory response,M011,2,0
1,0,1,-2.1,0,-2.1,GO:0035272,exocrine system development,M101,2,0
1,0,1,-2,0,-2.3,GO:0003013,circulatory system process,M101,2,0
0,1,1,0,-3.3,-4.2,WP3932,Focal adhesion PI3K Akt mTOR signaling pathway,M011,2,0
0,1,1,0,-2.3,-3.5,M167,PID AP1 PATHWAY,M011,2,0
0,1,1,0,-2.2,-2.5,GO:0030097,hemopoiesis,M011,2,0
1,1,0,-2.1,-2.1,0,WP69,T cell receptor signaling pathway,M110,2,0
1,1,0,-2.8,-2.4,0,GO:0007517,muscle organ development,M110,2,0
0,1,1,0,-2.6,-2.8,GO:0035239,tube morphogenesis,M011,2,0
0,1,1,0,-2.6,-2,GO:0007423,sensory organ development,M011,2,0
1,0,1,-2.3,0,-3.3,GO:0001501,skeletal system development,M101,2,0
1,0,1,-2.7,0,-2.7,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M101,2,0
0,1,1,0,-5.5,-2.3,GO:0046649,lymphocyte activation,M011,2,0
1,1,0,-2.1,-3,0,WP127,IL 5 signaling pathway,M110,2,0
1,1,0,-3.8,-2.1,0,WP4666,Hepatitis B infection,M110,2,0
0,1,1,0,-4.3,-2.4,WP3945,TYROBP causal network in microglia,M011,2,0
0,1,1,0,-3,-2.2,WP4172,PI3K Akt signaling pathway,M011,2,0
0,1,1,0,-2.5,-2.5,R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,M011,2,0
0,1,1,0,-3.1,-2.1,GO:0048514,blood vessel morphogenesis,M011,2,0
0,1,1,0,-6.9,-3.6,GO:0001775,cell activation,M011,2,0
1,1,0,-2.3,-4,0,WP286,IL 3 signaling pathway,M110,2,0
0,1,1,0,-2.1,-3,R-HSA-76002,"Platelet activation, signaling and aggregation",M011,2,0
1,1,0,-2.1,-2.1,0,R-HSA-166520,Signaling by NTRKs,M110,2,0
1,1,0,-3.4,-3.4,0,WP3972,PDGFR beta pathway,M110,2,0
