_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-3.8,-2.7,-6.4,GO:0045580,regulation of T cell differentiation,M111,3,0
1,1,1,-2.6,-3.7,-2.6,R-HSA-9824443,Parasitic Infection Pathways,M111,3,0
1,1,1,-3.7,-3.7,-5.2,GO:0035239,tube morphogenesis,M111,3,0
1,1,1,-2,-2,-4,WP5130,Th17 cell differentiation pathway,M111,3,0
1,1,1,-4.8,-2.4,-3.5,GO:0050678,regulation of epithelial cell proliferation,M111,3,0
1,1,1,-2.7,-2.7,-2.7,GO:0043378,"positive regulation of CD8-positive, alpha-beta T cell differentiation",M111,3,0
1,1,1,-2.1,-3.3,-2.1,GO:0098727,maintenance of cell number,M111,3,0
1,1,1,-8.4,-4.8,-4.2,GO:0048562,embryonic organ morphogenesis,M111,3,0
1,1,1,-2.1,-2.1,-2.4,GO:0048732,gland development,M111,3,0
1,1,1,-2.2,-3.3,-2.7,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M111,3,0
1,1,1,-2.3,-2.3,-3,GO:0060537,muscle tissue development,M111,3,0
1,1,1,-3,-2.4,-4.4,GO:0046637,regulation of alpha-beta T cell differentiation,M111,3,0
1,1,1,-3.2,-3.2,-3.2,GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",M111,3,0
1,1,1,-3.1,-2.5,-3.7,GO:0048469,cell maturation,M111,3,0
1,1,1,-2.5,-2,-5,GO:0046634,regulation of alpha-beta T cell activation,M111,3,0
1,1,1,-6.4,-3.5,-2.9,GO:0042471,ear morphogenesis,M111,3,0
1,1,1,-3,-3,-2.1,GO:0072189,ureter development,M111,3,0
1,1,1,-3.3,-2,-3.8,GO:0050870,positive regulation of T cell activation,M111,3,0
1,1,1,-4.2,-2.4,-4.2,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-3.2,-2.6,-4,GO:0007167,enzyme-linked receptor protein signaling pathway,M111,3,0
1,1,1,-10,-3.7,-8.5,GO:0001501,skeletal system development,M111,3,0
1,1,1,-4,-2.5,-5.7,WP2849,Hematopoietic stem cell differentiation,M111,3,0
1,1,1,-4.6,-2.4,-4.1,GO:1903037,regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-4.6,-8.7,-11,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-2.9,-2.9,-3.4,GO:0021700,developmental maturation,M111,3,0
1,1,1,-5.2,-2.4,-3,GO:0060021,roof of mouth development,M111,3,0
1,1,1,-2.4,-4,-4,GO:0045646,regulation of erythrocyte differentiation,M111,3,0
1,1,1,-6.1,-4.8,-5.2,GO:0007423,sensory organ development,M111,3,0
1,1,1,-2.1,-2.5,-2.1,hsa05166,Human T-cell leukemia virus 1 infection,M111,3,0
1,1,1,-6.7,-2.9,-7.4,GO:0061448,connective tissue development,M111,3,0
1,1,1,-2.3,-4.6,-4.6,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,1,-2.1,-2.1,-4,WP5102,Familial partial lipodystrophy,M111,3,0
1,1,1,-2.8,-4.4,-6.2,GO:0002683,negative regulation of immune system process,M111,3,0
1,1,1,-4.8,-2.9,-6.7,GO:0045321,leukocyte activation,M111,3,0
1,1,1,-3.1,-3.9,-6.5,GO:0072089,stem cell proliferation,M111,3,0
1,1,1,-2.4,-2.4,-3.8,GO:0002703,regulation of leukocyte mediated immunity,M111,3,0
1,1,1,-2.2,-5.1,-3.8,WP2857,Mesodermal commitment pathway,M111,3,0
1,1,1,-3.8,-2.4,-2.4,GO:0045666,positive regulation of neuron differentiation,M111,3,0
1,1,1,-2.2,-2.2,-2.2,GO:0043376,"regulation of CD8-positive, alpha-beta T cell differentiation",M111,3,0
1,1,1,-2.6,-2.6,-3.1,GO:0071695,anatomical structure maturation,M111,3,0
1,1,1,-2.1,-3.8,-2.1,GO:0006954,inflammatory response,M111,3,0
1,1,1,-2.2,-5.3,-4.2,GO:0045637,regulation of myeloid cell differentiation,M111,3,0
1,1,1,-2.7,-3.2,-2.7,GO:0048863,stem cell differentiation,M111,3,0
