_MEMBER_M19050.Micro,_MEMBER_M19050.OPC,_MEMBER_M19050.Oligo,_MEMBER_M59593.Micro,_MEMBER_M59593.OPC,_MEMBER_M59593.Oligo,_MEMBER_att_D_AD_1,_MEMBER_att_D_AD_2,_MEMBER_att_D_SCZ_1,_MEMBER_att_D_SCZ_2,_MEMBER_att_D_no_prior_0,_MEMBER_att_D_no_prior_1,_MEMBER_att_D_no_prior_2,_MEMBER_att_D_no_prior_3,_LogP_M19050.Micro,_LogP_M19050.OPC,_LogP_M19050.Oligo,_LogP_M59593.Micro,_LogP_M59593.OPC,_LogP_M59593.Oligo,_LogP_att_D_AD_1,_LogP_att_D_AD_2,_LogP_att_D_SCZ_1,_LogP_att_D_SCZ_2,_LogP_att_D_no_prior_0,_LogP_att_D_no_prior_1,_LogP_att_D_no_prior_2,_LogP_att_D_no_prior_3,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,1,1,1,1,1,1,1,1,1,1,1,-12,-2.3,0,-2.3,-2.5,-6.4,-12,-12,-10,-12,-20,-13,-18,-17,C1332201,M11011111111111,13,0,DisGeNET,35,Adult Diffuse Large B-Cell Lymphoma,,-20,7.3,14,30304,504,298,36,12,1.9,604|639|864|896|965|1112|2113|2120|2308|2313|3091|3123|3394|3587|3709|3718|4005|4780|5293|5336|5452|5966|6352|6935|7133|7409|7852|9332|10320|27436|51176|64805|81704|89857|91851|124540,BCL6|PRDM1|RUNX3|CCND3|CD58|FOXN3|ETS1|ETV6|FOXO1|FLI1|HIF1A|HLA-DRB1|IRF8|IL10RA|ITPR2|JAK3|LMO2|NFE2L2|PIK3CD|PLCG2|POU2F2|REL|CCL5|ZEB1|TNFRSF1B|VAV1|CXCR4|CD163|IKZF1|EML4|LEF1|P2RY12|DOCK8|KLHL6|CHRDL1|MSI2,-18,0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,-19,0,-2.7,-2.9,0,-6.6,-5,-3.4,-3.2,-4.9,-11,-9.1,-10,-7.3,C0024138,M10110111111111,12,0,DisGeNET,35,"Lupus Erythematosus, Discoid",,-19,7.2,14,30304,552,259,34,13,2.1,348|712|714|718|834|953|958|1026|1524|1820|2214|2313|3428|3603|3663|3665|3684|3687|3965|4261|4360|4688|4851|5467|5742|6452|6696|6850|7100|9332|11006|55024|57817|60468,APOE|C1QA|C1QC|C3|CASP1|ENTPD1|CD40|CDKN1A|CX3CR1|ARID3A|FCGR3A|FLI1|IFI16|IL16|IRF5|IRF7|ITGAM|ITGAX|LGALS9|CIITA|MRC1|NCF2|NOTCH1|PPARD|PTGS1|SH3BP2|SPP1|SYK|TLR5|CD163|LILRB4|BANK1|HAMP|BACH2,-16,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,-18,-2,-3.4,0,0,-5.8,-5.6,-4.1,-3.8,-5.6,-9.4,-11,-10,-8,C0409974,M11100111111111,12,0,DisGeNET,35,Lupus Erythematosus,,-18,7.1,14,30304,558,259,34,13,2.1,348|712|714|718|834|953|958|1026|1524|1820|2214|2313|3428|3603|3663|3665|3684|3687|3965|4261|4360|4688|4851|5293|5467|5742|6452|6696|6850|7100|11006|55024|57817|60468,APOE|C1QA|C1QC|C3|CASP1|ENTPD1|CD40|CDKN1A|CX3CR1|ARID3A|FCGR3A|FLI1|IFI16|IL16|IRF5|IRF7|ITGAM|ITGAX|LGALS9|CIITA|MRC1|NCF2|NOTCH1|PIK3CD|PPARD|PTGS1|SH3BP2|SPP1|SYK|TLR5|LILRB4|BANK1|HAMP|BACH2,-16,0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,-18,0,-2.8,0,0,-6.2,-4.6,-3.6,-3.3,-5.2,-8.5,-8.1,-8.1,-6.8,C0024131,M10100111111111,11,0,DisGeNET,35,Lupus Vulgaris,,-18,7.3,14,30304,526,259,33,13,2.1,348|712|714|718|834|953|958|1026|1524|1820|2214|2313|3428|3603|3663|3665|3684|3687|3965|4261|4360|4688|4851|5467|5742|6452|6696|6850|7100|11006|55024|57817|60468,APOE|C1QA|C1QC|C3|CASP1|ENTPD1|CD40|CDKN1A|CX3CR1|ARID3A|FCGR3A|FLI1|IFI16|IL16|IRF5|IRF7|ITGAM|ITGAX|LGALS9|CIITA|MRC1|NCF2|NOTCH1|PPARD|PTGS1|SH3BP2|SPP1|SYK|TLR5|LILRB4|BANK1|HAMP|BACH2,-16,0
1,1,1,0,0,0,1,1,1,1,1,1,1,1,-3.6,-2.1,-2.7,0,0,0,-3.8,-5.6,-3.3,-4.3,-18,-16,-17,-9.9,C0023493,M11100011111111,11,0,DisGeNET,35,Adult T-Cell Lymphoma/Leukemia,,-18,6.6,13,30304,540,298,35,12,1.9,604|896|919|942|960|965|1524|2113|2353|2355|3123|3394|3570|3687|3689|3718|4005|4088|4360|5293|5341|5966|6646|6886|6935|7037|7114|7132|7133|7409|7852|10135|10301|27044|93986,BCL6|CCND3|CD247|CD86|CD44|CD58|CX3CR1|ETS1|FOS|FOSL2|HLA-DRB1|IRF8|IL6R|ITGAX|ITGB2|JAK3|LMO2|SMAD3|MRC1|PIK3CD|PLEK|REL|SOAT1|TAL1|ZEB1|TFRC|TMSB4X|TNFRSF1A|TNFRSF1B|VAV1|CXCR4|NAMPT|DLEU1|SND1|FOXP2,-16,0
1,1,0,0,0,1,1,1,1,1,1,1,1,1,-7.5,-3.1,0,0,0,-3.1,-12,-5.9,-6.3,-6,-12,-18,-12,-9.6,C1333064,M11000111111111,11,0,DisGeNET,35,Classical Hodgkin's Lymphoma,,-18,9.2,14,30304,285,311,27,8.7,1.6,238|567|604|639|965|1997|2308|2353|2624|3122|3398|3702|3725|3726|3727|4481|5293|5788|5966|7075|8837|9308|9402|9709|51176|53335|84441,ALK|B2M|BCL6|PRDM1|CD58|ELF1|FOXO1|FOS|GATA2|HLA-DRA|ID2|ITK|JUN|JUNB|JUND|MSR1|PIK3CD|PTPRC|REL|TIE1|CFLAR|CD83|GRAP2|HERPUD1|LEF1|BCL11A|MAML2,-15,0
1,0,0,1,0,1,1,1,1,1,1,1,1,1,-7.1,0,0,-3.5,0,-11,-9.6,-15,-9.8,-10,-16,-13,-16,-17,C0200638,M10010111111111,11,0,DisGeNET,35,Eosinophil count procedure,,-17,7.8,13,30304,610,184,29,16,2.7,861|864|896|942|1441|1902|2078|2113|2313|3106|3394|3676|3727|3937|4773|5452|5788|6503|7038|8935|9402|10320|22856|23533|55843|64123|64759|81704|137196,RUNX1|RUNX3|CCND3|CD86|CSF3R|LPAR1|ERG|ETS1|FLI1|HLA-B|IRF8|ITGA4|JUND|LCP2|NFATC2|POU2F2|PTPRC|SLA|TG|SKAP2|GRAP2|IKZF1|CHSY1|PIK3R5|ARHGAP15|ADGRL4|TNS3|DOCK8|CCDC26,-15,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-17,0,0,0,0,-3.2,-4.1,-5.2,-5.7,-7.8,-13,-8.5,-12,-8.7,C0024143,M10000111111111,10,0,DisGeNET,35,Lupus Nephritis,,-17,7.2,13,30304,503,259,31,12,2,558|571|718|728|953|958|1026|1230|1436|1524|2214|2313|3663|3684|3965|5293|5698|5742|6452|6696|6850|7100|7305|7805|8829|9332|10320|10461|57817|64170|79155,AXL|BACH1|C3|C5AR1|ENTPD1|CD40|CDKN1A|CCR1|CSF1R|CX3CR1|FCGR3A|FLI1|IRF5|ITGAM|LGALS9|PIK3CD|PSMB9|PTGS1|SH3BP2|SPP1|SYK|TLR5|TYROBP|LAPTM5|NRP1|CD163|IKZF1|MERTK|HAMP|CARD9|TNIP2,-15,0
1,1,0,0,0,1,1,1,1,1,1,1,1,1,-7.9,-3.4,0,0,0,-5.7,-5,-5.7,-5.6,-4.5,-17,-6.4,-12,-12,C0038013,M11000111111111,11,0,DisGeNET,35,Ankylosing spondylitis,,-17,5.4,12,30304,710,298,38,13,1.9,113|358|639|861|864|972|2078|2113|2122|2308|2353|2697|3091|3123|3315|3394|3570|3587|3672|3718|4088|5293|6303|6646|6886|7132|7133|7852|7903|8935|9332|10019|10859|22900|23765|51284|81619|196527,ADCY7|AQP1|PRDM1|RUNX1|RUNX3|CD74|ERG|ETS1|MECOM|FOXO1|FOS|GJA1|HIF1A|HLA-DRB1|HSPB1|IRF8|IL6R|IL10RA|ITGA1|JAK3|SMAD3|PIK3CD|SAT1|SOAT1|TAL1|TNFRSF1A|TNFRSF1B|CXCR4|ST8SIA4|SKAP2|CD163|SH2B3|LILRB1|CARD8|IL17RA|TLR7|TSPAN14|ANO6,-15,0
1,1,0,0,0,1,1,1,1,1,1,1,1,1,-7.8,-2.1,0,0,0,-3.7,-8.6,-4.7,-5.1,-4.8,-12,-16,-10,-8.7,C2347747,M11000111111111,11,0,DisGeNET,35,Adult Classical Hodgkin Lymphoma,,-16,10,14,30304,233,311,24,7.7,1.5,238|567|604|639|965|1997|2308|2353|2624|3122|3398|3702|3725|3726|3727|5293|5788|5966|7075|9402|9709|51176|53335|84441,ALK|B2M|BCL6|PRDM1|CD58|ELF1|FOXO1|FOS|GATA2|HLA-DRA|ID2|ITK|JUN|JUNB|JUND|PIK3CD|PTPRC|REL|TIE1|GRAP2|HERPUD1|LEF1|BCL11A|MAML2,-14,0
