_MEMBER_att_D_SCZ_1 - 0.9-1.1,_MEMBER_att_D_SCZ_1 - 4.5-5.5,_MEMBER_att_D_SCZ_1 - 9.0-11.0,_LogP_att_D_SCZ_1 - 0.9-1.1,_LogP_att_D_SCZ_1 - 4.5-5.5,_LogP_att_D_SCZ_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-14,-2.8,-2.8,GO:2000628,regulation of miRNA metabolic process,M111,3,0
1,1,1,-6.1,-2.8,-4.7,GO:0006366,transcription by RNA polymerase II,M111,3,0
1,1,1,-13,-2.2,-3.4,hsa05202,Transcriptional misregulation in cancer,M111,3,0
1,1,1,-18,-8.5,-2.7,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-3.4,-2.3,-3.5,GO:0021700,developmental maturation,M111,3,0
1,1,1,-6.8,-3.8,-6.5,GO:0006351,DNA-templated transcription,M111,3,0
1,1,1,-4.3,-2.6,-2.6,GO:0071695,anatomical structure maturation,M111,3,0
1,1,1,-6.7,-3.8,-6.4,GO:0032774,RNA biosynthetic process,M111,3,0
1,1,1,-4.5,-3,-2.9,GO:0048469,cell maturation,M111,3,0
1,1,1,-3.8,-4.2,-2.8,GO:0045165,cell fate commitment,M111,3,0
1,1,1,-6.7,-4.1,-3.3,GO:0048732,gland development,M111,3,0
1,1,1,-15,-2.9,-2.9,GO:1902893,regulation of miRNA transcription,M111,3,0
1,1,1,-11,-8.1,-2.1,GO:0030099,myeloid cell differentiation,M111,3,0
1,1,1,-11,-3.5,-2.5,WP236,Adipogenesis,M111,3,0
1,1,1,-15,-2.9,-2.8,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,0,-6.5,-2.3,0,R-HSA-166520,Signaling by NTRKs,M110,2,0
1,1,0,-3.4,-2.9,0,WP5373,Role of hypoxia angiogenesis and FGF pathway in OA chondrocyte hypertrophy,M110,2,0
1,1,0,-4.3,-2.5,0,GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",M110,2,0
1,1,0,-5.9,-2,0,GO:0048545,response to steroid hormone,M110,2,0
1,1,0,-4.5,-3.3,0,GO:0045619,regulation of lymphocyte differentiation,M110,2,0
1,1,0,-4,-2.7,0,GO:0048880,sensory system development,M110,2,0
1,1,0,-5.4,-2,0,GO:0045621,positive regulation of lymphocyte differentiation,M110,2,0
1,1,0,-6.2,-2.2,0,GO:0045582,positive regulation of T cell differentiation,M110,2,0
1,1,0,-6.2,-2.1,0,GO:0002285,lymphocyte activation involved in immune response,M110,2,0
1,1,0,-6.1,-2.3,0,GO:0070848,response to growth factor,M110,2,0
1,1,0,-2.6,-2.4,0,GO:0043588,skin development,M110,2,0
1,1,0,-7.5,-3.1,0,GO:0050863,regulation of T cell activation,M110,2,0
1,1,0,-3.7,-5.3,0,GO:0048863,stem cell differentiation,M110,2,0
1,1,0,-3.2,-3,0,GO:0042594,response to starvation,M110,2,0
1,1,0,-2.7,-2.2,0,GO:0002262,myeloid cell homeostasis,M110,2,0
1,1,0,-8.8,-2.2,0,GO:0045639,positive regulation of myeloid cell differentiation,M110,2,0
1,1,0,-3.8,-2.1,0,GO:0030183,B cell differentiation,M110,2,0
1,1,0,-3.1,-2.8,0,GO:0002292,T cell differentiation involved in immune response,M110,2,0
1,1,0,-3,-2.1,0,GO:0032102,negative regulation of response to external stimulus,M110,2,0
1,1,0,-11,-5,0,GO:1903131,mononuclear cell differentiation,M110,2,0
1,1,0,-3.5,-2.3,0,hsa04928,"Parathyroid hormone synthesis, secretion and action",M110,2,0
1,1,0,-3.4,-2.9,0,WP1591,Heart development,M110,2,0
1,0,1,-4.7,0,-2.8,GO:0045598,regulation of fat cell differentiation,M101,2,0
1,1,0,-14,-4.3,0,GO:0045321,leukocyte activation,M110,2,0
1,1,0,-10,-3.4,0,GO:0042110,T cell activation,M110,2,0
1,1,0,-2.5,-2.5,0,GO:0035710,"CD4-positive, alpha-beta T cell activation",M110,2,0
1,1,0,-5.6,-3.6,0,hsa04658,Th1 and Th2 cell differentiation,M110,2,0
1,1,0,-5.9,-2.8,0,R-HSA-8939211,ESR-mediated signaling,M110,2,0
1,1,0,-5.5,-3.1,0,GO:0045646,regulation of erythrocyte differentiation,M110,2,0
1,1,0,-13,-4.2,0,GO:0046649,lymphocyte activation,M110,2,0
1,1,0,-4,-2.2,0,GO:0003151,outflow tract morphogenesis,M110,2,0
1,1,0,-3.5,-2.4,0,GO:0035282,segmentation,M110,2,0
1,1,0,-8.5,-2,0,WP366,TGF beta signaling pathway,M110,2,0
1,1,0,-3,-2.3,0,GO:0046632,alpha-beta T cell differentiation,M110,2,0
1,1,0,-2.2,-3.6,0,GO:0002244,hematopoietic progenitor cell differentiation,M110,2,0
1,1,0,-2.6,-3.4,0,GO:0048729,tissue morphogenesis,M110,2,0
1,1,0,-8.7,-2.3,0,GO:1903037,regulation of leukocyte cell-cell adhesion,M110,2,0
1,1,0,-4.2,-2.2,0,GO:0061061,muscle structure development,M110,2,0
1,1,0,-7.8,-4.5,0,M60,PID NFAT TFPATHWAY,M110,2,0
1,1,0,-5,-2.4,0,GO:0071363,cellular response to growth factor stimulus,M110,2,0
1,1,0,-2.5,-2.1,0,GO:0009991,response to extracellular stimulus,M110,2,0
1,1,0,-2.6,-2.9,0,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,M110,2,0
1,1,0,-4.2,-2.7,0,GO:0030218,erythrocyte differentiation,M110,2,0
1,1,0,-3,-2.6,0,GO:0071417,cellular response to organonitrogen compound,M110,2,0
1,1,0,-2.7,-2.8,0,GO:0071356,cellular response to tumor necrosis factor,M110,2,0
1,1,0,-3.8,-3.1,0,WP2374,Oncostatin M signaling pathway,M110,2,0
1,1,0,-2.1,-2.5,0,GO:0003206,cardiac chamber morphogenesis,M110,2,0
1,1,0,-4.8,-2.7,0,GO:0042113,B cell activation,M110,2,0
1,1,0,-6.4,-2.1,0,hsa04659,Th17 cell differentiation,M110,2,0
1,1,0,-2.2,-2.2,0,GO:0042476,odontogenesis,M110,2,0
1,1,0,-7.4,-3,0,GO:0002520,immune system development,M110,2,0
1,1,0,-12,-3.7,0,GO:0001775,cell activation,M110,2,0
1,1,0,-8.4,-4.2,0,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M110,2,0
1,1,0,-3,-2.2,0,GO:1901653,cellular response to peptide,M110,2,0
1,1,0,-5.3,-3.3,0,WP5198,Inflammatory bowel disease signaling,M110,2,0
1,1,0,-4.5,-2.2,0,GO:1901652,response to peptide,M110,2,0
1,1,0,-2.7,-2.2,0,GO:0009267,cellular response to starvation,M110,2,0
1,1,0,-8.3,-5,0,GO:1902105,regulation of leukocyte differentiation,M110,2,0
1,1,0,-2.4,-2.1,0,GO:0001889,liver development,M110,2,0
1,1,0,-4.1,-3.5,0,GO:0048562,embryonic organ morphogenesis,M110,2,0
1,1,0,-5.1,-3.6,0,GO:0045580,regulation of T cell differentiation,M110,2,0
1,1,0,-2.8,-2.6,0,GO:0034612,response to tumor necrosis factor,M110,2,0
1,1,0,-6.3,-3,0,GO:0003002,regionalization,M110,2,0
1,1,0,-2.6,-2.9,0,R-HSA-5619507,Activation of HOX genes during differentiation,M110,2,0
1,1,0,-7.9,-2.1,0,GO:0050870,positive regulation of T cell activation,M110,2,0
1,1,0,-3.8,-4.3,0,GO:0048598,embryonic morphogenesis,M110,2,0
