_MEMBER_data_imp_1 - 1.8-2.2,_MEMBER_data_imp_1 - 4.5-5.5,_MEMBER_data_imp_1 - 9.0-11.0,_LogP_data_imp_1 - 1.8-2.2,_LogP_data_imp_1 - 4.5-5.5,_LogP_data_imp_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-2.1,-2.9,-3.5,CORUM:2694,ERG-JUN-FOS DNA-protein complex,M111,3,0
1,1,1,-2.4,-2.5,-3.9,M236,PID DELTA NP63 PATHWAY,M111,3,0
1,1,1,-2.4,-2.1,-2.1,hsa04211,Longevity regulating pathway,M111,3,0
1,1,1,-6.8,-4.7,-2.4,GO:0048880,sensory system development,M111,3,0
1,1,1,-12,-8,-4.1,GO:0007167,enzyme-linked receptor protein signaling pathway,M111,3,0
1,1,1,-8.4,-6.1,-2.1,GO:0002009,morphogenesis of an epithelium,M111,3,0
1,1,1,-4.9,-3.4,-7.6,GO:0021700,developmental maturation,M111,3,0
1,1,1,-4.4,-2.7,-2.7,GO:0010721,negative regulation of cell development,M111,3,0
1,1,1,-2.5,-2.6,-2.3,GO:0050680,negative regulation of epithelial cell proliferation,M111,3,0
1,1,1,-4,-2.2,-5.4,GO:1902107,positive regulation of leukocyte differentiation,M111,3,0
1,1,1,-8.7,-6.7,-9.3,GO:0030098,lymphocyte differentiation,M111,3,0
1,1,1,-3.8,-4.3,-4.5,M7,PID FCER1 PATHWAY,M111,3,0
1,1,1,-2.8,-3.3,-2.7,GO:0060760,positive regulation of response to cytokine stimulus,M111,3,0
1,1,1,-4.6,-4.1,-6,GO:0002062,chondrocyte differentiation,M111,3,0
1,1,1,-2.3,-3.9,-3.1,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,M111,3,0
1,1,1,-2.3,-3.5,-3.2,R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,M111,3,0
1,1,1,-9.4,-5.4,-6.7,hsa05202,Transcriptional misregulation in cancer,M111,3,0
1,1,1,-3,-2.6,-2.5,M235,PID TCR CALCIUM PATHWAY,M111,3,0
1,1,1,-4.5,-3.8,-2.6,WP5373,Role of hypoxia angiogenesis and FGF pathway in OA chondrocyte hypertrophy,M111,3,0
1,1,1,-4.7,-3.1,-5.1,GO:0046634,regulation of alpha-beta T cell activation,M111,3,0
1,1,1,-11,-7.7,-4.8,GO:0043009,chordate embryonic development,M111,3,0
1,1,1,-3.5,-2.7,-3.3,M195,PID CMYB PATHWAY,M111,3,0
1,1,1,-4,-2.3,-2.8,GO:0007610,behavior,M111,3,0
1,1,1,-5.1,-3.6,-4.3,GO:0048736,appendage development,M111,3,0
1,1,1,-7.2,-3.1,-2.2,WP2882,Nuclear receptors meta pathway,M111,3,0
1,1,1,-10,-4.9,-5.2,hsa04380,Osteoclast differentiation,M111,3,0
1,1,1,-2.7,-2,-2.1,GO:0043535,regulation of blood vessel endothelial cell migration,M111,3,0
1,1,1,-4.9,-5.2,-5.2,M183,PID IL6 7 PATHWAY,M111,3,0
1,1,1,-5.9,-2.6,-5.7,GO:0045637,regulation of myeloid cell differentiation,M111,3,0
1,1,1,-5.2,-4.6,-3.4,GO:0050769,positive regulation of neurogenesis,M111,3,0
1,1,1,-9.3,-6.9,-4.1,GO:0007389,pattern specification process,M111,3,0
1,1,1,-5.4,-6.3,-3.1,GO:0002683,negative regulation of immune system process,M111,3,0
1,1,1,-3.5,-3.3,-3.8,GO:0140467,integrated stress response signaling,M111,3,0
1,1,1,-5.1,-2.5,-2.4,GO:0002066,columnar/cuboidal epithelial cell development,M111,3,0
1,1,1,-5.4,-4.9,-3.3,hsa05169,Epstein-Barr virus infection,M111,3,0
1,1,1,-3.7,-4.6,-3.4,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M111,3,0
1,1,1,-2.8,-3.2,-2.6,GO:0001892,embryonic placenta development,M111,3,0
1,1,1,-3.1,-2.2,-3.6,GO:2000177,regulation of neural precursor cell proliferation,M111,3,0
1,1,1,-8,-5.8,-4.7,GO:0030900,forebrain development,M111,3,0
1,1,1,-6.3,-5.3,-6.5,GO:0071345,cellular response to cytokine stimulus,M111,3,0
1,1,1,-11,-4.6,-4.8,GO:0001568,blood vessel development,M111,3,0
1,1,1,-3.2,-3.8,-4.1,WP5098,T cell activation SARS CoV 2,M111,3,0
1,1,1,-8.2,-6.5,-8.3,GO:0010720,positive regulation of cell development,M111,3,0
1,1,1,-7.1,-5.3,-4,GO:0071559,response to transforming growth factor beta,M111,3,0
1,1,1,-2.3,-2.6,-3.8,GO:0002695,negative regulation of leukocyte activation,M111,3,0
1,1,1,-9.7,-3.9,-2.6,GO:0006366,transcription by RNA polymerase II,M111,3,0
1,1,1,-4.3,-3.5,-6.1,M290,PID IL12 STAT4 PATHWAY,M111,3,0
1,1,1,-4.1,-3.1,-2.2,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M111,3,0
1,1,1,-2.3,-5.4,-5.8,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M111,3,0
1,1,1,-12,-8.8,-9.9,GO:0001501,skeletal system development,M111,3,0
1,1,1,-3.9,-2.3,-3.3,GO:0001649,osteoblast differentiation,M111,3,0
1,1,1,-9.4,-5.8,-3.6,GO:0051960,regulation of nervous system development,M111,3,0
1,1,1,-11,-11,-14,GO:0045321,leukocyte activation,M111,3,0
