_MEMBER_data_imp_1 - 98.0-100.0,_LogP_data_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.2,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M1,1,0
1,-2.5,hsa05417,Lipid and atherosclerosis,M1,1,0
1,-3.4,GO:0050778,positive regulation of immune response,M1,1,0
1,-2.1,GO:0003151,outflow tract morphogenesis,M1,1,0
1,-2.6,GO:0038095,Fc-epsilon receptor signaling pathway,M1,1,0
1,-4.8,GO:0030851,granulocyte differentiation,M1,1,0
1,-2.1,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-5.3,GO:0045321,leukocyte activation,M1,1,0
1,-2.1,GO:0033630,positive regulation of cell adhesion mediated by integrin,M1,1,0
1,-2.1,GO:0007422,peripheral nervous system development,M1,1,0
1,-2.4,GO:0010001,glial cell differentiation,M1,1,0
1,-5.2,GO:0030099,myeloid cell differentiation,M1,1,0
1,-3.3,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M1,1,0
1,-2.6,hsa04658,Th1 and Th2 cell differentiation,M1,1,0
1,-2.8,GO:0002253,activation of immune response,M1,1,0
1,-2,GO:0031348,negative regulation of defense response,M1,1,0
1,-3.4,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-2.2,WP4816,TGF beta receptor signaling in skeletal dysplasias,M1,1,0
1,-2.2,GO:0071695,anatomical structure maturation,M1,1,0
1,-2.1,GO:0050680,negative regulation of epithelial cell proliferation,M1,1,0
1,-2.4,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,M1,1,0
1,-2.8,WP170,Nuclear receptors,M1,1,0
1,-2.2,GO:0051056,regulation of small GTPase mediated signal transduction,M1,1,0
1,-2.2,GO:0060043,regulation of cardiac muscle cell proliferation,M1,1,0
1,-4.7,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-2.8,GO:0046635,positive regulation of alpha-beta T cell activation,M1,1,0
1,-3.9,GO:0048568,embryonic organ development,M1,1,0
1,-2.9,GO:0001568,blood vessel development,M1,1,0
1,-2.9,GO:0048469,cell maturation,M1,1,0
1,-2.7,GO:0001936,regulation of endothelial cell proliferation,M1,1,0
1,-2.7,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.7,GO:1990858,cellular response to lectin,M1,1,0
1,-2.1,M60,PID NFAT TFPATHWAY,M1,1,0
1,-2.8,GO:0048545,response to steroid hormone,M1,1,0
1,-2.2,hsa00590,Arachidonic acid metabolism,M1,1,0
1,-2.1,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-2.2,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-3.6,M141,PID PI3KCI PATHWAY,M1,1,0
1,-2.4,GO:0140467,integrated stress response signaling,M1,1,0
1,-2.9,GO:0001649,osteoblast differentiation,M1,1,0
1,-3.7,GO:0002761,regulation of myeloid leukocyte differentiation,M1,1,0
1,-3.2,GO:0006691,leukotriene metabolic process,M1,1,0
1,-2.9,GO:0002702,positive regulation of production of molecular mediator of immune response,M1,1,0
1,-2.3,WP2023,Cell differentiation expanded index,M1,1,0
1,-2.6,WP1591,Heart development,M1,1,0
1,-3.2,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-4.2,WP5434,Cancer pathways,M1,1,0
1,-5,WP23,B cell receptor signaling,M1,1,0
1,-2.4,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-3.3,GO:0050851,antigen receptor-mediated signaling pathway,M1,1,0
1,-2.1,GO:0034103,regulation of tissue remodeling,M1,1,0
1,-2.5,GO:0032835,glomerulus development,M1,1,0
1,-2.2,WP5122,Prostaglandin and leukotriene metabolism in senescence,M1,1,0
1,-3.1,GO:0002220,innate immune response activating cell surface receptor signaling pathway,M1,1,0
1,-2.1,WP474,Endochondral ossification,M1,1,0
1,-3.1,GO:0070665,positive regulation of leukocyte proliferation,M1,1,0
1,-2.2,WP4540,Hippo signaling regulation,M1,1,0
1,-3.3,GO:0061351,neural precursor cell proliferation,M1,1,0
1,-2.1,R-HSA-9679191,Potential therapeutics for SARS,M1,1,0
1,-3,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.2,GO:0046632,alpha-beta T cell differentiation,M1,1,0
1,-6.6,GO:0002521,leukocyte differentiation,M1,1,0
1,-2.7,GO:0022409,positive regulation of cell-cell adhesion,M1,1,0
1,-2.4,GO:0060349,bone morphogenesis,M1,1,0
1,-3.6,GO:0006954,inflammatory response,M1,1,0
1,-2.2,R-HSA-9825892,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,M1,1,0
1,-2.3,WP5432,Omega 3 fatty acids in senescence,M1,1,0
1,-2.9,GO:0031349,positive regulation of defense response,M1,1,0
1,-3.1,WP5198,Inflammatory bowel disease signaling,M1,1,0
1,-2.5,GO:0048762,mesenchymal cell differentiation,M1,1,0
1,-2.2,GO:0009395,phospholipid catabolic process,M1,1,0
1,-2.5,GO:0001945,lymph vessel development,M1,1,0
1,-2.3,GO:0061035,regulation of cartilage development,M1,1,0
1,-3.5,GO:0006991,response to sterol depletion,M1,1,0
1,-2.9,GO:0032722,positive regulation of chemokine production,M1,1,0
1,-2.2,GO:0001662,behavioral fear response,M1,1,0
1,-4.2,hsa04664,Fc epsilon RI signaling pathway,M1,1,0
1,-2.6,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-2.7,WP167,Eicosanoid synthesis,M1,1,0
1,-2.8,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.2,GO:0030852,regulation of granulocyte differentiation,M1,1,0
1,-3.8,GO:1901503,ether biosynthetic process,M1,1,0
1,-2,GO:0051046,regulation of secretion,M1,1,0
1,-2.4,GO:0042509,regulation of tyrosine phosphorylation of STAT protein,M1,1,0
1,-2.1,WP3995,Prion disease pathway,M1,1,0
1,-2.9,GO:0048705,skeletal system morphogenesis,M1,1,0
1,-2.4,GO:0061138,morphogenesis of a branching epithelium,M1,1,0
1,-2.6,GO:0001525,angiogenesis,M1,1,0
1,-3.2,WP4211,Transcriptional cascade regulating adipogenesis,M1,1,0
1,-2.4,WP2858,Ectoderm differentiation,M1,1,0
1,-2.5,GO:0014706,striated muscle tissue development,M1,1,0
1,-4,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-3.3,hsa04659,Th17 cell differentiation,M1,1,0
1,-2.6,GO:0050777,negative regulation of immune response,M1,1,0
1,-3.5,M8626,SIG BCR SIGNALING PATHWAY,M1,1,0
1,-3.8,GO:0001937,negative regulation of endothelial cell proliferation,M1,1,0
1,-2,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.9,GO:0019370,leukotriene biosynthetic process,M1,1,0
1,-3.7,hsa04928,"Parathyroid hormone synthesis, secretion and action",M1,1,0
1,-2.2,GO:0010575,positive regulation of vascular endothelial growth factor production,M1,1,0
1,-2.4,GO:0050865,regulation of cell activation,M1,1,0
1,-2.1,GO:0002700,regulation of production of molecular mediator of immune response,M1,1,0
1,-3.2,hsa05202,Transcriptional misregulation in cancer,M1,1,0
1,-2.7,GO:0001516,prostaglandin biosynthetic process,M1,1,0
1,-2.1,hsa05170,Human immunodeficiency virus 1 infection,M1,1,0
1,-2.7,GO:0036037,"CD8-positive, alpha-beta T cell activation",M1,1,0
1,-2.1,GO:0051282,regulation of sequestering of calcium ion,M1,1,0
1,-2.2,GO:0006692,prostanoid metabolic process,M1,1,0
1,-2.1,hsa05132,Salmonella infection,M1,1,0
1,-2.2,GO:0046847,filopodium assembly,M1,1,0
1,-3.2,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-2.2,GO:0035265,organ growth,M1,1,0
1,-2.4,hsa05210,Colorectal cancer,M1,1,0
1,-4.1,hsa05200,Pathways in cancer,M1,1,0
1,-2.6,hsa04022,cGMP-PKG signaling pathway,M1,1,0
1,-2.6,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-2.3,WP2849,Hematopoietic stem cell differentiation,M1,1,0
1,-2.5,GO:1903707,negative regulation of hemopoiesis,M1,1,0
1,-2.8,GO:0060537,muscle tissue development,M1,1,0
