_MEMBER_data_imp_1 - 1.8-2.2,_MEMBER_data_imp_1 - 4.5-5.5,_MEMBER_data_imp_1 - 9.0-11.0,_LogP_data_imp_1 - 1.8-2.2,_LogP_data_imp_1 - 4.5-5.5,_LogP_data_imp_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-6,-4.1,-4.5,GO:0030879,mammary gland development,M111,3,0
1,1,1,-3.2,-3.1,-2,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M111,3,0
1,1,1,-14,-4.8,-5.5,GO:0009792,embryo development ending in birth or egg hatching,M111,3,0
1,1,1,-5.3,-4.3,-3,GO:0050867,positive regulation of cell activation,M111,3,0
1,1,1,-2.3,-5.5,-3.3,R-HSA-8878166,Transcriptional regulation by RUNX2,M111,3,0
1,1,1,-7.4,-6.2,-2.8,GO:0050778,positive regulation of immune response,M111,3,0
1,1,1,-5.4,-4.5,-3.6,GO:0010001,glial cell differentiation,M111,3,0
1,1,1,-2.6,-3.6,-3.8,R-HSA-8878159,Transcriptional regulation by RUNX3,M111,3,0
1,1,1,-4.2,-2.1,-4.4,M17200,SA B CELL RECEPTOR COMPLEXES,M111,3,0
1,1,1,-2.8,-2.4,-2.8,WP585,Interferon type I signaling pathways,M111,3,0
1,1,1,-5.2,-9.2,-8,R-HSA-449147,Signaling by Interleukins,M111,3,0
1,1,1,-8,-2.6,-2.1,M255,PID HIF1 TFPATHWAY,M111,3,0
1,1,1,-3.3,-2.9,-3.6,GO:2000106,regulation of leukocyte apoptotic process,M111,3,0
1,1,1,-6.5,-2.9,-2.4,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M111,3,0
1,1,1,-4.7,-6.4,-4.1,GO:1903037,regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-2,-2.3,-2.8,hsa04613,Neutrophil extracellular trap formation,M111,3,0
1,1,1,-6.4,-4.1,-2.2,GO:0007610,behavior,M111,3,0
1,1,1,-5.6,-3.5,-4,GO:0048736,appendage development,M111,3,0
1,1,1,-4.2,-3.1,-3,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M111,3,0
1,1,1,-10,-4.9,-4.3,WP2857,Mesodermal commitment pathway,M111,3,0
1,1,1,-4,-4.8,-2.5,M195,PID CMYB PATHWAY,M111,3,0
1,1,1,-7.8,-3,-3.3,WP4666,Hepatitis B infection,M111,3,0
1,1,1,-3.4,-3.8,-2.8,GO:0050870,positive regulation of T cell activation,M111,3,0
1,1,1,-3.3,-2.3,-3,hsa04611,Platelet activation,M111,3,0
1,1,1,-3.7,-2.4,-5.3,GO:0021954,central nervous system neuron development,M111,3,0
1,1,1,-3.8,-3.5,-2.4,GO:0050728,negative regulation of inflammatory response,M111,3,0
1,1,1,-9.4,-5.7,-3.4,GO:0071396,cellular response to lipid,M111,3,0
1,1,1,-4.3,-4.2,-2.5,GO:0071216,cellular response to biotic stimulus,M111,3,0
1,1,1,-2.8,-2.4,-3.7,GO:0035115,embryonic forelimb morphogenesis,M111,3,0
1,1,1,-11,-6.5,-4.7,GO:1902895,positive regulation of miRNA transcription,M111,3,0
1,1,1,-7.5,-4.8,-4.3,GO:0060562,epithelial tube morphogenesis,M111,3,0
1,1,1,-3.2,-2.1,-3.4,M22,PID GMCSF PATHWAY,M111,3,0
1,1,1,-9.9,-7.2,-4.9,GO:0048729,tissue morphogenesis,M111,3,0
1,1,1,-4.7,-6.1,-2.2,GO:0043434,response to peptide hormone,M111,3,0
1,1,1,-3.5,-5,-5.6,GO:0042113,B cell activation,M111,3,0
1,1,1,-4.1,-4.7,-3.3,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-13,-4.5,-5.2,hsa05200,Pathways in cancer,M111,3,0
1,1,1,-6.4,-2.4,-2.5,GO:0051056,regulation of small GTPase mediated signal transduction,M111,3,0
1,1,1,-4.8,-4.1,-2.1,GO:0003205,cardiac chamber development,M111,3,0
1,1,1,-5,-8.6,-3.2,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M111,3,0
1,1,1,-9.4,-11,-6.6,WP4149,White fat cell differentiation,M111,3,0
1,1,1,-2.3,-4.6,-2.4,GO:0032868,response to insulin,M111,3,0
1,1,1,-15,-4,-3.6,GO:0060322,head development,M111,3,0
1,1,1,-14,-9.6,-11,GO:0048568,embryonic organ development,M111,3,0
1,1,1,-4.2,-3.2,-3,GO:0031348,negative regulation of defense response,M111,3,0
1,1,1,-4.8,-3.1,-2.9,GO:0048872,homeostasis of number of cells,M111,3,0
1,1,1,-5.2,-7.5,-3.5,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,M111,3,0
1,1,1,-5.9,-6,-6.8,GO:1903706,regulation of hemopoiesis,M111,3,0
1,1,1,-8.6,-10,-3.4,GO:0061061,muscle structure development,M111,3,0
1,1,1,-3.3,-2.5,-6.4,R-HSA-9006335,Signaling by Erythropoietin,M111,3,0
1,1,1,-3.9,-3.9,-3.1,GO:0002293,alpha-beta T cell differentiation involved in immune response,M111,3,0
1,1,1,-3.1,-3.3,-3.7,GO:0002274,myeloid leukocyte activation,M111,3,0
1,1,1,-8.3,-8.5,-2.6,R-HSA-9031628,NGF-stimulated transcription,M111,3,0
1,1,1,-4.2,-4,-5,GO:0046631,alpha-beta T cell activation,M111,3,0
1,1,1,-9.8,-4.2,-3.8,GO:0051960,regulation of nervous system development,M111,3,0
1,1,1,-5.7,-5.1,-2.9,GO:0043583,ear development,M111,3,0
1,1,1,-14,-4.2,-3.7,GO:0007420,brain development,M111,3,0
1,1,1,-3.6,-2.3,-2.2,GO:0003231,cardiac ventricle development,M111,3,0
1,1,1,-12,-6.4,-8.3,GO:0042110,T cell activation,M111,3,0
1,1,1,-5.6,-3.5,-4,GO:0060173,limb development,M111,3,0
1,1,1,-8.4,-7.6,-7.2,GO:0008283,cell population proliferation,M111,3,0
1,1,1,-9.9,-3.4,-7.5,GO:0030217,T cell differentiation,M111,3,0
1,1,1,-4.5,-3.5,-2.1,GO:1902075,cellular response to salt,M111,3,0
1,1,1,-13,-6,-14,GO:1903131,mononuclear cell differentiation,M111,3,0
1,1,1,-10,-4.5,-4.3,GO:0001701,in utero embryonic development,M111,3,0
1,1,1,-3.1,-2.7,-4,M124,PID CXCR4 PATHWAY,M111,3,0
1,1,1,-5,-7.5,-2.3,GO:0060537,muscle tissue development,M111,3,0
1,1,1,-4.9,-2.1,-3.2,WP560,TGF beta receptor signaling,M111,3,0
1,1,1,-4.6,-3.3,-2.6,GO:0050727,regulation of inflammatory response,M111,3,0
1,1,1,-4.1,-5.8,-3.7,GO:0071559,response to transforming growth factor beta,M111,3,0
1,1,1,-2.1,-3.5,-4.5,R-HSA-9824443,Parasitic Infection Pathways,M111,3,0
1,1,1,-12,-6.2,-2.1,GO:0006366,transcription by RNA polymerase II,M111,3,0
1,1,1,-4.2,-2,-2,GO:0032526,response to retinoic acid,M111,3,0
1,1,1,-7.8,-2.1,-2.1,GO:0009952,anterior/posterior pattern specification,M111,3,0
1,1,1,-6,-6.2,-3,GO:0007517,muscle organ development,M111,3,0
1,1,1,-4.4,-3.4,-2.8,R-HSA-400253,Circadian Clock,M111,3,0
1,1,1,-4.5,-3.9,-2.2,GO:0003279,cardiac septum development,M111,3,0
1,1,1,-7.4,-4.2,-4.9,GO:0050865,regulation of cell activation,M111,3,0
1,1,1,-4.3,-2.9,-3.5,GO:0021700,developmental maturation,M111,3,0
