_MEMBER_AD.Micro,_MEMBER_AD.OPC,_MEMBER_AD.Oligo,_MEMBER_Control.Micro,_MEMBER_Control.Oligo,_LogP_AD.Micro,_LogP_AD.OPC,_LogP_AD.Oligo,_LogP_Control.Micro,_LogP_Control.Oligo,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,0,-4.8,0,-18,-6.1,0,C0200638,M10110,3,0,DisGeNET,35,Eosinophil count procedure,,-18,6.5,13,30304,610,274,36,13,2,467|753|860|942|1902|2313|3122|3394|3566|3635|3937|4773|5337|5452|5596|5788|6503|6916|7038|7133|8935|9020|9586|10019|10301|23533|51760|54518|55636|55843|64759|79651|79987|80008|81704|137196,ATF3|LDLRAD4|RUNX2|CD86|LPAR1|FLI1|HLA-DRA|IRF8|IL4R|INPP5D|LCP2|NFATC2|PLD1|POU2F2|MAPK4|PTPRC|SLA|TBXAS1|TG|TNFRSF1B|SKAP2|MAP3K14|CREB5|SH2B3|DLEU1|PIK3R5|SYT17|APBB1IP|CHD7|ARHGAP15|TNS3|RHBDF2|SVEP1|TMEM156|DOCK8|CCDC26,-15,0
1,0,1,1,0,-3,0,-15,-6,0,C3714514,M10110,3,0,DisGeNET,35,Infection,,-15,6.5,12,30304,491,274,29,11,1.9,240|920|942|1524|2353|3055|3428|3459|3566|3587|3606|3689|4261|5788|5925|6556|6688|6696|6774|6850|7038|7096|7097|7100|7133|10135|10859|57817|139716,ALOX5|CD4|CD86|CX3CR1|FOS|HCK|IFI16|IFNGR1|IL4R|IL10RA|IL18|ITGB2|CIITA|PTPRC|RB1|SLC11A1|SPI1|SPP1|STAT3|SYK|TG|TLR1|TLR2|TLR5|TNFRSF1B|NAMPT|LILRB1|HAMP|GAB3,-12,0
1,0,1,1,0,-2.1,0,-14,-7.3,0,C0017661,M10110,3,0,DisGeNET,35,IGA Glomerulonephritis,,-14,6.5,11,30304,456,274,27,9.9,1.8,240|571|718|942|1524|2353|2683|3115|3122|3606|3684|3687|5788|5996|6480|6696|6850|7096|7097|7133|7805|25992|29760|54899|56034|64231|64759,ALOX5|BACH1|C3|CD86|CX3CR1|FOS|B4GALT1|HLA-DPB1|HLA-DRA|IL18|ITGAM|ITGAX|PTPRC|RGS1|ST6GAL1|SPP1|SYK|TLR1|TLR2|TNFRSF1B|LAPTM5|SNED1|BLNK|PXK|PDGFC|MS4A6A|TNS3,-11,0
1,0,1,1,0,-3.9,0,-14,-4.8,0,C0023448,M10110,3,0,DisGeNET,35,Lymphoid leukemia,,-14,8.4,12,30304,288,274,22,8,1.6,558|677|678|718|965|1436|2120|2885|3516|3684|4067|5788|6696|6774|6850|6886|8418|9839|10019|29760|81704|92241,AXL|ZFP36L1|ZFP36L2|C3|CD58|CSF1R|ETV6|GRB2|RBPJ|ITGAM|LYN|PTPRC|SPP1|STAT3|SYK|TAL1|CMAHP|ZEB2|SH2B3|BLNK|DOCK8|RCSD1,-11,0
1,0,1,1,0,-4.5,0,-14,-4,0,C0023508,M10110,3,0,DisGeNET,35,White Blood Cell Count procedure,,-14,5.2,11,30304,681,274,32,12,1.9,240|467|860|1524|2289|2651|3115|3428|4067|4286|5336|5596|5788|6239|6886|6916|7903|8832|9586|10019|10301|54796|55636|55843|57533|64759|81619|81704|92241|137196|201176|285513,ALOX5|ATF3|RUNX2|CX3CR1|FKBP5|GCNT2|HLA-DPB1|IFI16|LYN|MITF|PLCG2|MAPK4|PTPRC|RREB1|TAL1|TBXAS1|ST8SIA4|CD84|CREB5|SH2B3|DLEU1|BNC2|CHD7|ARHGAP15|TBC1D14|TNS3|TSPAN14|DOCK8|RCSD1|CCDC26|ARHGAP27|GPRIN3,-11,0
0,0,1,1,0,0,0,-13,-5.2,0,C1292769,M00110,2,0,DisGeNET,35,Precursor B-cell lymphoblastic leukemia,,-13,6.2,11,30304,478,274,27,9.9,1.8,240|558|718|942|1436|2120|3115|3635|3684|3689|3937|5090|5305|5321|5452|5788|6850|7805|10019|10135|10257|29760|81704|83478|84441|92241|286410,ALOX5|AXL|C3|CD86|CSF1R|ETV6|HLA-DPB1|INPP5D|ITGAM|ITGB2|LCP2|PBX3|PIP4K2A|PLA2G4A|POU2F2|PTPRC|SYK|LAPTM5|SH2B3|NAMPT|ABCC4|BLNK|DOCK8|ARHGAP24|MAML2|RCSD1|ATP11C,-11,0
1,1,1,1,0,-2.5,-6.8,-12,-2.7,0,C0410702,M11110,4,0,DisGeNET,35,Adolescent idiopathic scoliosis,,-12,5.1,10,30304,656,274,30,11,1.9,2|571|753|860|1794|3660|4067|4773|5137|5583|6774|7402|9586|10019|10301|27185|54796|55636|56034|57522|57568|57705|80005|81704|84441|85477|91526|112616|137196|220107,A2M|BACH1|LDLRAD4|RUNX2|DOCK2|IRF2|LYN|NFATC2|PDE1C|PRKCH|STAT3|UTRN|CREB5|SH2B3|DLEU1|DISC1|BNC2|CHD7|PDGFC|SRGAP1|SIPA1L2|WDFY4|DOCK5|DOCK8|MAML2|SCIN|ANKRD44|CMTM7|CCDC26|DLEU7,-9.8,0
1,1,1,1,0,-2.7,-6.1,-12,-3,0,C1837461,M11110,4,0,DisGeNET,35,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,-12,5.4,10,30304,578,274,28,10,1.8,2|571|753|1794|3660|4067|4773|5137|5583|7402|9586|10019|10301|27185|54796|55636|56034|57522|57568|57705|80005|81704|84441|85477|91526|112616|137196|220107,A2M|BACH1|LDLRAD4|DOCK2|IRF2|LYN|NFATC2|PDE1C|PRKCH|UTRN|CREB5|SH2B3|DLEU1|DISC1|BNC2|CHD7|PDGFC|SRGAP1|SIPA1L2|WDFY4|DOCK5|DOCK8|MAML2|SCIN|ANKRD44|CMTM7|CCDC26|DLEU7,-9.6,0
0,0,1,1,0,0,0,-12,-7.9,0,C0024143,M00110,2,0,DisGeNET,35,Lupus Nephritis,,-12,5.7,10,30304,503,274,26,9.5,1.8,558|571|718|942|953|972|1240|1436|1524|2313|3587|3606|3684|3689|4780|6546|6696|6774|6850|7097|7100|7805|57817|64581|79651|120892,AXL|BACH1|C3|CD86|ENTPD1|CD74|CMKLR1|CSF1R|CX3CR1|FLI1|IL10RA|IL18|ITGAM|ITGB2|NFE2L2|SLC8A1|SPP1|STAT3|SYK|TLR2|TLR5|LAPTM5|HAMP|CLEC7A|RHBDF2|LRRK2,-9.5,0
0,0,1,1,0,0,0,-12,-6,0,C0004623,M00110,2,0,DisGeNET,35,Bacterial Infections,,-12,5,9.6,30304,616,274,28,10,1.8,240|718|942|953|965|1794|3394|3459|3606|3684|3689|4780|5321|5788|6696|6774|7046|7048|7097|7100|8202|10019|10964|55647|57817|64581|81704|83666,ALOX5|C3|CD86|ENTPD1|CD58|DOCK2|IRF8|IFNGR1|IL18|ITGAM|ITGB2|NFE2L2|PLA2G4A|PTPRC|SPP1|STAT3|TGFBR1|TGFBR2|TLR2|TLR5|NCOA3|SH2B3|IFI44L|RAB20|HAMP|CLEC7A|DOCK8|PARP9,-9,0
0,0,1,1,0,0,0,-11,-4.2,0,C0023465,M00110,2,0,DisGeNET,35,Acute monocytic leukemia,,-11,4.9,9.5,30304,633,274,28,10,1.8,972|1436|1508|2120|3572|3606|3635|3684|3689|3937|4211|4286|4542|4780|5321|5927|6239|6696|6774|6850|7097|7182|9289|11214|25939|83666|84441|137196,CD74|CSF1R|CTSB|ETV6|IL6ST|IL18|INPP5D|ITGAM|ITGB2|LCP2|MEIS1|MITF|MYO1F|NFE2L2|PLA2G4A|KDM5A|RREB1|SPP1|STAT3|SYK|TLR2|NR2C2|ADGRG1|AKAP13|SAMHD1|PARP9|MAML2|CCDC26,-8.8,0
1,0,1,1,0,-3,0,-11,-4.1,0,C0004943,M10110,3,0,DisGeNET,35,Behcet Syndrome,,-11,5.5,9.7,30304,502,274,25,9.1,1.7,467|1524|3115|3394|3428|3566|3572|3606|3684|3687|3689|4261|5966|6556|6696|6774|7038|7046|7096|7097|7133|9839|27185|54504|64581,ATF3|CX3CR1|HLA-DPB1|IRF8|IFI16|IL4R|IL6ST|IL18|ITGAM|ITGAX|ITGB2|CIITA|REL|SLC11A1|SPP1|STAT3|TG|TGFBR1|TLR1|TLR2|TNFRSF1B|ZEB2|DISC1|CPVL|CLEC7A,-8.7,0
