_MEMBER_att_D_no_prior_0 - 0.9-1.1,_MEMBER_att_D_no_prior_0 - 4.5-5.5,_MEMBER_att_D_no_prior_0 - 9.0-11.0,_LogP_att_D_no_prior_0 - 0.9-1.1,_LogP_att_D_no_prior_0 - 4.5-5.5,_LogP_att_D_no_prior_0 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-4.1,-2.8,-2.3,GO:0045619,regulation of lymphocyte differentiation,M111,3,0
1,1,1,-3.5,-3.4,-3.1,WP4844,Influence of laminopathies on Wnt signaling,M111,3,0
1,1,1,-2.6,-3.4,-2.3,GO:0140467,integrated stress response signaling,M111,3,0
1,1,1,-4.3,-2.8,-2.2,M60,PID NFAT TFPATHWAY,M111,3,0
1,1,1,-2.8,-5.5,-3.3,WP2849,Hematopoietic stem cell differentiation,M111,3,0
1,1,1,-2.9,-2.4,-2.2,hsa04662,B cell receptor signaling pathway,M111,3,0
1,1,1,-2.4,-2.9,-3.7,WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,M111,3,0
1,1,1,-7.3,-3.4,-3.3,GO:1903706,regulation of hemopoiesis,M111,3,0
1,1,1,-2.6,-2.4,-2.2,GO:0001890,placenta development,M111,3,0
1,1,1,-2.2,-2.3,-4.1,M7,PID FCER1 PATHWAY,M111,3,0
1,1,1,-6.2,-2.7,-2.7,GO:1902105,regulation of leukocyte differentiation,M111,3,0
1,1,1,-3.9,-2,-2.3,M186,PID PDGFRB PATHWAY,M111,3,0
1,1,1,-3.7,-2.7,-2.4,WP4879,Overlap between signal transduction pathways contributing to LMNA laminopathies,M111,3,0
1,1,1,-6,-3.7,-2.6,GO:0045165,cell fate commitment,M111,3,0
1,1,1,-5.9,-3.6,-2.9,M167,PID AP1 PATHWAY,M111,3,0
0,1,1,0,-3.1,-2.4,GO:0030098,lymphocyte differentiation,M011,2,0
0,1,1,0,-2.5,-3.8,R-HSA-2871796,FCERI mediated MAPK activation,M011,2,0
0,1,1,0,-2.4,-3.2,CORUM:2694,ERG-JUN-FOS DNA-protein complex,M011,2,0
0,1,1,0,-2.2,-2,GO:0002697,regulation of immune effector process,M011,2,0
