_MEMBER_data_imp_1 - 98.0-100.0,_LogP_data_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,GO:0002066,columnar/cuboidal epithelial cell development,M1,1,0
1,-2.6,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-3.1,WP2849,Hematopoietic stem cell differentiation,M1,1,0
1,-2.2,GO:0009914,hormone transport,M1,1,0
1,-2.7,GO:0048844,artery morphogenesis,M1,1,0
1,-2.2,GO:0051101,regulation of DNA binding,M1,1,0
1,-3,GO:0010464,regulation of mesenchymal cell proliferation,M1,1,0
1,-2.3,GO:0002762,negative regulation of myeloid leukocyte differentiation,M1,1,0
1,-2.1,GO:0150063,visual system development,M1,1,0
1,-2.3,GO:0008283,cell population proliferation,M1,1,0
1,-2.8,GO:0048663,neuron fate commitment,M1,1,0
1,-2.1,GO:0048880,sensory system development,M1,1,0
1,-2.8,GO:0009611,response to wounding,M1,1,0
1,-2.7,GO:0045638,negative regulation of myeloid cell differentiation,M1,1,0
1,-2.3,GO:0060249,anatomical structure homeostasis,M1,1,0
1,-2.2,GO:0001654,eye development,M1,1,0
1,-2.3,GO:0060840,artery development,M1,1,0
1,-2.2,GO:0098727,maintenance of cell number,M1,1,0
1,-2.6,hsa04976,Bile secretion,M1,1,0
1,-2,hsa04935,"Growth hormone synthesis, secretion and action",M1,1,0
1,-2.8,GO:0007423,sensory organ development,M1,1,0
1,-2.6,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.1,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-2.7,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-4.4,R-HSA-381753,Olfactory Signaling Pathway,M1,1,0
1,-2.7,GO:0001701,in utero embryonic development,M1,1,0
1,-2.5,GO:0060135,maternal process involved in female pregnancy,M1,1,0
1,-2.4,R-HSA-9758941,Gastrulation,M1,1,0
1,-2,GO:0072089,stem cell proliferation,M1,1,0
1,-2.4,hsa04750,Inflammatory mediator regulation of TRP channels,M1,1,0
1,-2.6,WP2840,Hair follicle development cytodifferentiation stage 3 of 3,M1,1,0
1,-2.2,GO:0002065,columnar/cuboidal epithelial cell differentiation,M1,1,0
1,-2.5,WP2817,Mammary gland development pregnancy and lactation stage 3 of 4,M1,1,0
1,-2.3,GO:0001894,tissue homeostasis,M1,1,0
1,-2.7,hsa04114,Oocyte meiosis,M1,1,0
1,-2.4,GO:0009792,embryo development ending in birth or egg hatching,M1,1,0
1,-2.7,WP364,IL6 signaling,M1,1,0
1,-2.1,GO:0060271,cilium assembly,M1,1,0
1,-2,GO:0050728,negative regulation of inflammatory response,M1,1,0
1,-3.1,hsa04914,Progesterone-mediated oocyte maturation,M1,1,0
1,-2.1,GO:0045165,cell fate commitment,M1,1,0
1,-3,GO:0042908,xenobiotic transport,M1,1,0
1,-2.4,GO:0043009,chordate embryonic development,M1,1,0
1,-2.9,GO:0072010,glomerular epithelium development,M1,1,0
1,-2,GO:0035239,tube morphogenesis,M1,1,0
1,-2.5,GO:0048568,embryonic organ development,M1,1,0
