AD.OPC,Control.OPC,AD.Micro,Control.Micro,AD.Oligo,Control.Oligo
NMU,LUZP2,GPR34,IN_ADARB2,GLDN,PPFIBP2
NR2E1,RFX4,LYL1,FGD2,FOXN3,CBFB
TNR,MARCKSL1,RBMS3,TMEM156,CXXC5,ZKSCAN1
SLC35F4,ADARB2,RNF144B,MYO16,TCF7L2,PDZRN3
SEMA3A,SOX8,BATF3,TBXAS1,KIF13B,PTPN14
TCF7L2,COL9A1,FLI1,GRIK1,NR2F1,ERMN
PBX3,CREB3L1,AKAP13,OPC,CLMN,ZBTB20
NFIB,CALCRL,PIK3AP1,NCKAP1L,DOCK8,GALNT18
CDH9,EYA4,GAD2,MTSS1,PRNP,ENPP2
PRKG1,ETS1,ARHGAP24,RELB,SEMA6A,PCSK6
MYO16,HUNK,IGSF21,HIF1A,TPPP,PLLP
PVM,EGFR,RUNX1,ZNF217,SREBF2,PLXDC2
ASCL1,ZCCHC24,ST8SIA4,ITGAM,KLF13,LINC00639
BCL6,RUNX3,PPARG,SAMSN1,CD82,CDH19
DTNA,SLC4A4,RGS10,,DOCK5,OPC
CHST11,BCAS1,SPI1,,BACH2,C10orf90
BRINP3,MYO5B,HCLS1,,HHIP,
SLC24A3,Micro,CHST11,,NFATC2,
NXPH2,APOD,RHBDF2,,ZNF704,
SCN9A,WLS,MYO1F,,MITF,
ZNF827,PDE3A,MYO5B,,APBB1IP,
PCSK5,CREB5,RBM47,,PRDX1,
ANKRD44,OLIG2,C1QB,,SPP1,
VAX1,ATP10B,SFMBT2,,CREB3L2,
CNTNAP3,LINC00298,ELF4,,IKZF1,
PDE7B,LTBP1,C12orf75,,NDRG1,
LRRN1,UST,BATF,,SCD,
CLMP,KCNH8,DOCK11,,ST6GAL1,
TCF7L1,SV2C,RGS1,,TMTC1,
HPSE2,PLLP,STAT6,,GABRA2,
AMOTL1,PDLIM5,JDP2,,PTPRC,
PRTG,Oligo,ZNF710,,C5orf64,
SP9,OLIG1,IGF1,,ADAM28,
SPRY4,ATP1A2,WNT5A,,UBB,
NFIX,C10orf90,CARD11,,MOBP,
NKAIN3,PPFIBP2,VAV1,,RTKN,
RELN,FOXN2,ATP8B4,,STAT2,
BEST3,SOX10,LILRB1,,,
PDGFRA,PARD3,KLF6,,,
KCNJ16,PAPPA,BLNK,,,
KCNS3,LEF1,,,,
ARHGEF4,PTPRE,,,,
,HIF3A,,,,
,TMEM132C,,,,
,DISC1,,,,
,CRB1,,,,
