_MEMBER_0.0,_MEMBER_1.0,_MEMBER_2.0,_MEMBER_3.0,_MEMBER_4.0,_LogP_0.0,_LogP_1.0,_LogP_2.0,_LogP_3.0,_LogP_4.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,0,-5.9,-4.2,-2.1,-2.3,0,R-HSA-3247509,Chromatin modifying enzymes,M11110,4,0
1,1,1,1,0,-2.8,-2.4,-2.6,-2.3,0,GO:0006259,DNA metabolic process,M11110,4,0
1,1,1,1,0,-5.5,-6.2,-5.7,-2.8,0,GO:0006338,chromatin remodeling,M11110,4,0
1,1,1,1,0,-3.3,-3.9,-7.9,-2.3,0,R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins,M11110,4,0
1,1,1,0,0,-6.3,-3.1,-4.8,0,0,GO:0006366,transcription by RNA polymerase II,M11100,3,0
1,1,1,0,0,-2.7,-4.7,-5.7,0,0,R-HSA-212165,Epigenetic regulation of gene expression,M11100,3,0
1,1,1,0,0,-2.8,-5.9,-3.5,0,0,GO:0031507,heterochromatin formation,M11100,3,0
1,1,1,0,0,-2.6,-4.7,-5.7,0,0,GO:0045814,"negative regulation of gene expression, epigenetic",M11100,3,0
1,1,1,0,0,-8.1,-4.7,-5.2,0,0,GO:0006351,DNA-templated transcription,M11100,3,0
1,1,0,1,0,-5.5,-3.9,0,-2.2,0,R-HSA-4839726,Chromatin organization,M11010,3,0
0,1,1,1,0,0,-2.4,-4,-2.2,0,GO:0009299,mRNA transcription,M01110,3,0
1,1,1,0,0,-2.2,-2.6,-3.5,0,0,GO:0042789,mRNA transcription by RNA polymerase II,M11100,3,0
1,0,1,0,1,-4.8,0,-3.1,0,-2.7,M101,PID HDAC CLASSI PATHWAY,M10101,3,0
1,1,1,0,0,-2.9,-2.6,-2,0,0,WP1541,Energy metabolism,M11100,3,0
1,1,1,0,0,-3.5,-2.6,-2.4,0,0,GO:0006281,DNA repair,M11100,3,0
1,1,1,0,0,-3.6,-5.2,-4.2,0,0,GO:0040029,epigenetic regulation of gene expression,M11100,3,0
1,1,1,0,0,-4.1,-4.1,-7.8,0,0,R-HSA-9842860,Regulation of endogenous retroelements,M11100,3,0
0,1,1,0,0,0,-2,-2.1,0,0,R-HSA-167290,Pausing and recovery of HIV elongation,M01100,2,0
1,1,0,0,0,-2.2,-2.4,0,0,0,GO:0035270,endocrine system development,M11000,2,0
0,0,1,1,0,0,0,-2,-2.1,0,WP5039,SARS CoV 2 innate immunity evasion and cell specific immune response,M00110,2,0
0,0,1,1,0,0,0,-2.1,-2.7,0,R-HSA-9020958,Interleukin-21 signaling,M00110,2,0
1,0,0,0,1,-2.1,0,0,0,-2.5,R-HSA-2990846,SUMOylation,M10001,2,0
1,0,1,0,0,-2.6,0,-2.2,0,0,GO:0006984,ER-nucleus signaling pathway,M10100,2,0
0,0,1,1,0,0,0,-3,-2.3,0,WP4946,DNA repair pathways full network,M00110,2,0
1,0,0,0,1,-2,0,0,0,-2.4,WP2853,Endoderm differentiation,M10001,2,0
0,1,0,0,1,0,-2.3,0,0,-2.1,R-HSA-3700989,Transcriptional Regulation by TP53,M01001,2,0
0,0,0,1,1,0,0,0,-2.3,-3,WP1971,Integrated cancer pathway,M00011,2,0
1,0,1,0,0,-2.2,0,-2.5,0,0,CORUM:3064,"RNA polymerase II complex, chromatin structure modifying",M10100,2,0
1,0,1,0,0,-2.3,0,-4.5,0,0,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,M10100,2,0
0,1,1,0,0,0,-2.2,-2.3,0,0,R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,M01100,2,0
0,0,1,1,0,0,0,-4.8,-2.3,0,GO:0016071,mRNA metabolic process,M00110,2,0
1,0,1,0,0,-2.3,0,-2.9,0,0,hsa04917,Prolactin signaling pathway,M10100,2,0
0,0,1,1,0,0,0,-2.3,-2.1,0,R-HSA-73893,DNA Damage Bypass,M00110,2,0
0,0,1,1,0,0,0,-2.6,-2.3,0,R-HSA-5656169,Termination of translesion DNA synthesis,M00110,2,0
0,1,0,1,0,0,-3.6,0,-2.5,0,GO:2000142,regulation of DNA-templated transcription initiation,M01010,2,0
0,0,1,1,0,0,0,-2.5,-2.2,0,R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,M00110,2,0
1,0,1,0,0,-2.3,0,-3.7,0,0,R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2",M10100,2,0
0,1,1,0,0,0,-2.2,-2.3,0,0,GO:0000731,DNA synthesis involved in DNA repair,M01100,2,0
1,0,0,0,1,-2.1,0,0,0,-2.5,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,M10001,2,0
1,1,0,0,0,-5.2,-4.5,0,0,0,R-HSA-3214842,HDMs demethylate histones,M11000,2,0
1,0,1,0,0,-2.4,0,-2.3,0,0,M105,PID TELOMERASE PATHWAY,M10100,2,0
0,1,0,1,0,0,-3.2,0,-3.5,0,GO:0071897,DNA biosynthetic process,M01010,2,0
1,0,1,0,0,-2.7,0,-2.3,0,0,R-HSA-383280,Nuclear Receptor transcription pathway,M10100,2,0
0,1,1,0,0,0,-2.2,-2.3,0,0,R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,M01100,2,0
0,1,1,0,0,0,-2.1,-2.2,0,0,hsa03082,ATP-dependent chromatin remodeling,M01100,2,0
0,1,0,1,0,0,-3.6,0,-3.1,0,GO:0060260,regulation of transcription initiation by RNA polymerase II,M01010,2,0
0,1,1,0,0,0,-2,-2.1,0,0,R-HSA-167287,HIV elongation arrest and recovery,M01100,2,0
1,0,0,0,0,-3,0,0,0,0,GO:0006383,transcription by RNA polymerase III,M10000,1,0
0,0,1,0,0,0,0,-5.6,0,0,WP411,mRNA processing,M00100,1,0
0,0,1,0,0,0,0,-3.3,0,0,R-HSA-72163,mRNA Splicing - Major Pathway,M00100,1,0
0,0,0,1,0,0,0,0,-2.6,0,GO:2000279,negative regulation of DNA biosynthetic process,M00010,1,0
0,0,1,0,0,0,0,-3.4,0,0,R-HSA-5696398,Nucleotide Excision Repair,M00100,1,0
0,0,0,1,0,0,0,0,-2.4,0,GO:0033028,myeloid cell apoptotic process,M00010,1,0
1,0,0,0,0,-2.6,0,0,0,0,R-HSA-72187,mRNA 3'-end processing,M10000,1,0
1,0,0,0,0,-3,0,0,0,0,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,M10000,1,0
0,1,0,0,0,0,-3.4,0,0,0,R-HSA-167172,Transcription of the HIV genome,M01000,1,0
0,0,0,1,0,0,0,0,-3.4,0,GO:0001824,blastocyst development,M00010,1,0
0,1,0,0,0,0,-4.5,0,0,0,R-HSA-427413,NoRC negatively regulates rRNA expression,M01000,1,0
0,0,1,0,0,0,0,-2.9,0,0,R-HSA-1852241,Organelle biogenesis and maintenance,M00100,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0031053,primary miRNA processing,M10000,1,0
1,0,0,0,0,-3.4,0,0,0,0,GO:1900037,regulation of cellular response to hypoxia,M10000,1,0
1,0,0,0,0,-2.5,0,0,0,0,GO:0043009,chordate embryonic development,M10000,1,0
0,0,1,0,0,0,0,-4.1,0,0,R-HSA-9707616,Heme signaling,M00100,1,0
0,1,0,0,0,0,-3,0,0,0,GO:0140719,constitutive heterochromatin formation,M01000,1,0
0,0,0,1,0,0,0,0,-2.3,0,GO:0001825,blastocyst formation,M00010,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0070918,regulatory ncRNA processing,M10000,1,0
0,1,0,0,0,0,-2.9,0,0,0,M279,PID RB 1PATHWAY,M01000,1,0
1,0,0,0,0,-2.3,0,0,0,0,R-HSA-5619507,Activation of HOX genes during differentiation,M10000,1,0
1,0,0,0,0,-2,0,0,0,0,hsa04927,Cortisol synthesis and secretion,M10000,1,0
0,1,0,0,0,0,-2.2,0,0,0,hsa03022,Basal transcription factors,M01000,1,0
0,1,0,0,0,0,-4.5,0,0,0,R-HSA-5250941,Negative epigenetic regulation of rRNA expression,M01000,1,0
0,1,0,0,0,0,-2.2,0,0,0,CORUM:632,Anti-HDAC2 complex,M01000,1,0
0,0,0,1,0,0,0,0,-2.4,0,GO:0043489,RNA stabilization,M00010,1,0
0,1,0,0,0,0,-2,0,0,0,GO:0071514,genomic imprinting,M01000,1,0
0,0,1,0,0,0,0,-2.1,0,0,R-HSA-6781823,Formation of TC-NER Pre-Incision Complex,M00100,1,0
0,0,1,0,0,0,0,-2.8,0,0,R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),M00100,1,0
1,0,0,0,0,-3,0,0,0,0,R-HSA-8939211,ESR-mediated signaling,M10000,1,0
0,1,0,0,0,0,-2.4,0,0,0,GO:2000143,negative regulation of DNA-templated transcription initiation,M01000,1,0
1,0,0,0,0,-2.3,0,0,0,0,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,M10000,1,0
1,0,0,0,0,-2.2,0,0,0,0,GO:0043587,tongue morphogenesis,M10000,1,0
1,0,0,0,0,-2.3,0,0,0,0,GO:2000036,regulation of stem cell population maintenance,M10000,1,0
1,0,0,0,0,-2.8,0,0,0,0,GO:0090311,regulation of protein deacetylation,M10000,1,0
0,1,0,0,0,0,-2,0,0,0,WP4577,Neurodegeneration with brain iron accumulation NBIA subtypes pathway,M01000,1,0
0,0,1,0,0,0,0,-2.6,0,0,hsa03420,Nucleotide excision repair,M00100,1,0
