_MEMBER_SCZ_imp_1 - 94.0-96.0,_MEMBER_SCZ_imp_1 - 96.0-98.0,_MEMBER_SCZ_imp_1 - 98.0-100.0,_LogP_SCZ_imp_1 - 94.0-96.0,_LogP_SCZ_imp_1 - 96.0-98.0,_LogP_SCZ_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-5,-3.3,-2.6,GO:0071363,cellular response to growth factor stimulus,M111,3,0
1,1,1,-2.8,-3.8,-2.9,GO:0043583,ear development,M111,3,0
1,1,1,-2.1,-4.2,-4.8,GO:0048562,embryonic organ morphogenesis,M111,3,0
1,1,1,-2.2,-2.8,-4.1,hsa04659,Th17 cell differentiation,M111,3,0
1,1,1,-2.3,-2.8,-3.4,GO:0021953,central nervous system neuron differentiation,M111,3,0
1,1,1,-3.2,-3.6,-5.1,GO:0050863,regulation of T cell activation,M111,3,0
1,1,1,-3.7,-2.9,-8.6,GO:0001501,skeletal system development,M111,3,0
1,1,1,-2.9,-2.4,-2.4,R-HSA-9758941,Gastrulation,M111,3,0
1,1,1,-2.3,-2,-3.8,GO:0001819,positive regulation of cytokine production,M111,3,0
1,1,1,-6.7,-6.7,-6.7,GO:1903131,mononuclear cell differentiation,M111,3,0
1,1,1,-2.6,-2,-5.8,hsa04380,Osteoclast differentiation,M111,3,0
1,1,1,-2.5,-3.8,-7,GO:1902105,regulation of leukocyte differentiation,M111,3,0
1,1,1,-3.4,-2.4,-3.4,R-HSA-2871796,FCERI mediated MAPK activation,M111,3,0
1,1,1,-2.9,-2.9,-8.1,GO:0061448,connective tissue development,M111,3,0
1,1,1,-3.2,-3.7,-5.4,GO:0021537,telencephalon development,M111,3,0
1,1,1,-2.2,-2.2,-3.4,GO:0021780,glial cell fate specification,M111,3,0
1,1,1,-2.7,-3.7,-5.1,hsa05200,Pathways in cancer,M111,3,0
1,1,1,-2.6,-2.2,-4,GO:0060485,mesenchyme development,M111,3,0
1,1,1,-4.6,-3.6,-4.1,GO:1903037,regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-2.5,-7.7,-6.7,WP2849,Hematopoietic stem cell differentiation,M111,3,0
1,1,1,-3.1,-2,-3.7,WP2858,Ectoderm differentiation,M111,3,0
1,1,1,-2.5,-4.1,-4.9,GO:0045596,negative regulation of cell differentiation,M111,3,0
1,1,1,-2.7,-2.7,-2.7,M235,PID TCR CALCIUM PATHWAY,M111,3,0
1,1,1,-3.5,-2.9,-2.4,GO:0042113,B cell activation,M111,3,0
1,1,1,-4.8,-2.9,-4,GO:0007167,enzyme-linked receptor protein signaling pathway,M111,3,0
1,1,1,-2.6,-3.7,-2.6,R-HSA-9824443,Parasitic Infection Pathways,M111,3,0
1,1,1,-2,-3.3,-3.4,GO:0050870,positive regulation of T cell activation,M111,3,0
1,1,1,-2.4,-4.9,-2.4,M151,PID AR TF PATHWAY,M111,3,0
1,1,1,-3.3,-7.2,-7.2,GO:1903706,regulation of hemopoiesis,M111,3,0
1,1,1,-2.2,-2.9,-2.9,GO:0021872,forebrain generation of neurons,M111,3,0
1,1,1,-2.1,-3.3,-2.7,GO:0098727,maintenance of cell number,M111,3,0
1,1,1,-4.1,-3.2,-4.2,M8626,SIG BCR SIGNALING PATHWAY,M111,3,0
1,1,1,-2.9,-4.5,-3.3,GO:0051960,regulation of nervous system development,M111,3,0
1,1,1,-2.9,-4.6,-3.5,GO:0048839,inner ear development,M111,3,0
1,1,1,-3.6,-2.5,-2.5,R-HSA-9006335,Signaling by Erythropoietin,M111,3,0
1,1,1,-2.8,-3.9,-5.3,WP5434,Pathways in cancer,M111,3,0
