att_D_AD_1.M35115.Oligo,att_D_AD_2.M35115.Micro,att_D_AD_2.M35594.Micro,att_D_AD_2.M35115.Oligo,att_D_AD_2.M35594.Oligo,att_D_SCZ_2.M35115.Oligo,att_D_no_prior_0.M35594.OPC,att_D_no_prior_2.M35594.OPC,att_D_AD_1,att_D_AD_2,att_D_SCZ_1,att_D_SCZ_2,att_D_no_prior_0,att_D_no_prior_1,att_D_no_prior_2,att_D_no_prior_3,_BACKGROUND
CD163,CCDC97,LINC01094,CD163,DISC1,CD163,KCNIP1,KCNIP1,ELF1,ELF1,ELF1,ELF1,BCL11A,ARX,BACH1,BACH1,A1CF
DISC1,SIGLEC10,TPM2,TGFB1,TNFRSF1B,DISC1,FOXN3,FOXN3,ERG,ERG,ERG,ERG,BCL6,BACH1,ELF1,ERG,A2M
PLSCR1,CLIC2,AXL,PIK3R5,DIAPH2,PLSCR1,HIVEP1,HIVEP1,ETS2,ETS2,ETS2,ETS2,E2F3,BCL11A,ERG,ETS1,A2MP1
C1QB,IL15RA,SORL1,SCIN,EPS8,C1QB,MXD4,MXD4,ETV6,ETV6,ETV6,ETV6,ELF1,BCL6,ETS2,ETS2,A4GALT
TNFRSF1B,CSF1R,SH2D4A,IFI44L,RB1,TNFRSF1B,CHST11,CHST11,FLI1,FLI1,FLI1,FLI1,ERG,CUX1,ETV6,ETV6,AADACL2-AS1
APBB1IP,CTSS,E2F3,FMN1,SWAP70,DLEU1,,,FOS,IKZF1,IKZF1,IKZF1,ETS1,DLX1,FLI1,FLI1,AATK
DLEU1,SWAP70,ARHGAP27,APBB1IP,PECAM1,ZC3HAV1,,,FOXO1,IRF8,IRF8,IRF8,ETS2,ELF1,FOS,FOS,ABCA1
ZC3HAV1,AIF1,LYVE1,SLCO2B1,PARVB,IL13RA1,,,IKZF1,JUND,NFATC2,JUND,ETV6,ERG,FOXN3,FOXP2,ABCA10
IL13RA1,CCND1,UNC93B1,SRGAP2B,HERPUD1,CASP4,,,IRF8,REL,RUNX1,NFATC2,FLI1,ETS1,FOXP2,IKZF1,ABCA12
CASP4,ITGAL,MAGI1-AS1,CD86,DDX60L,SP140,,,LEF1,RUNX1,RUNX3,RUNX1,FOS,ETS2,IKZF1,IRF8,ABCA2
SP140,MNDA,MGAM,SKAP2,SLC2A5,TG,,,NFIB,RUNX3,SOX10,SOX10,FOSL2,ETV6,IRF8,JUND,ABCA6
TG,ANKRD22,CCDC88B,SLC11A1,IL18,PECAM1,,,RUNX1,SPI1,SOX8,TCF12,FOXN3,FLI1,JUN,MAFB,ABCA8
PECAM1,FGD2,FIRRE,ARHGAP24,CTTNBP2NL,NEDD9,,,SOX10,TCF12,SREBF2,TCF7L1,FOXO1,FOS,JUNB,NFATC2,ABCA9
CTSB,KCNMB1,NUAK2,BLNK,MYOF,SP140L,,,SOX6,FKBP5,TCF12,TCF7L2,FOXP2,FOSL2,LEF1,POU2F2,ABCB1
NEDD9,SLC12A7,MEI4,SPTLC2,KCTD12,STK10,,,SOX8,ADGRL4,TANC1,ZEB1,IKZF1,FOXO1,MAFB,PRDM1,ABCB4
SP140L,LIPC,ENTPD1-AS1,ARHGAP30,PRKCH,RIN3,,,SREBF2,ANO2,TTC7A,TANC1,IRF8,FOXP2,NFATC2,REL,ABCC4
STK10,DLEU7,PFKFB3,ARHGAP15,DUSP1,PARP9,,,TCF12,EGFL7,WIPF1,TTC7A,LEF1,GATA2,PRDM1,RUNX1,ABCC9
RIN3,IL6R,BMP2K,MX1,HLA-B,PARVB,,,TCF7L1,ELOVL7,ABCB1,ELOVL7,LHX6,HEYL,REL,RUNX3,ABCG2
PARP9,CASP1,ITPR2,ITGB2,USP6NL,B2M,,,TCF7L2,FER1L6-AS2,ELOVL7,HERC2P3,MAF,IKZF1,RUNX1,TCF12,ABHD15
PARVB,FAM89A,COTL1,MAML3,MS4A6A,IRAK3,,,ZEB1,HERC2P3,HERC2P3,CHSY1,NFATC2,IRF8,RUNX3,GRIK1,ABHD3
B2M,ABI3,ZNF592,SAMD9L,CLEC2B,ETV6,,,CFLAR,VWF,CHSY1,DENND3,NFIA,JUN,SOX8,ADGRL4,ABI3
SLA,LHFPL2,TBC1D14,DOCK8,MGAT4A,DDX60L,,,ANXA3,CHSY1,GPCPD1,IL4R,NFIB,JUNB,SREBF2,BTNL9,ABI3BP
IRAK3,HLA-DRA,BBOX1-AS1,TLR1,TRIM38,SRGAP2C,,,ATP10A,GPCPD1,HLA-E,IRAK3,POU2F2,JUND,TAL1,CLDN5,ABL1
ETV6,IL18,CHI3L1,ARHGAP6,IFI44,LY86,,,BTNL9,HLA-B,IL4R,PRKCH,PRDM1,LEF1,TCF12,HTR2C,ABLIM1
DDX60L,OAS3,MOB3A,SMCO4,CARD8,IL17RA,,,CLDN5,IRAK3,TM6SF1,TM6SF1,PRRX1,LHX6,TCF7L1,MECOM,ABO
SRGAP2C,EBI3,C1orf54,PTPRE,GNB4,AKAP13,,,FLT1,LRRK1,ANKS1A,ANKS1A,REL,MAFB,TCF7L2,PALMD,ABR
LY86,MYOF,F11R,RPS6KA1,CPVL,PARVG,,,PTPRB,MGST2,ANO6,ARHGAP15,RREB1,MECOM,ZNF536,SLC7A5,ABTB2
LPCAT2,RAB27A,TRIM22,HCK,LYN,ABCC4,,,SLC7A1,TM6SF1,ATP8B4,ARHGAP6,RUNX1,NFATC2,KCNIP1,ST8SIA6,ACAA1
IL17RA,DIAPH3,ABCA1,IGSF21,CSF3R,IFNGR1,,,SLCO4A1,ANKS1A,CMKLR1,BLNK,RUNX3,NFIA,NFE2L2,SYNE2,ACACB
LAP3,STAT1,C5orf17,RIN3,ARHGAP18,KCTD12,,,ST8SIA6,ARHGAP15,CMTM7,BMP2K,SOX10,NFIB,WIPF1,CHSY1,ACAD10
LHFPL2,TMCO4,NFATC2,TMSB4X,TMEM51,PRKCH,,,CHSY1,ARHGAP6,CPVL,CMKLR1,SOX6,PBX1,ADGRF5,CTTNBP2NL,ACADL
ALOX5,SCIN,SNRPB2,ST8SIA4,RAPGEF1,IFI44L,,,HLA-E,ARHGEF6,DDX60L,CMTM7,SRRM3,PRDM1,ANXA3,FLT1,ACAN
IL18,MIR34AHG,NPC2,FGD2,ANKS1A,ZNF532,,,IL4R,CYFIP1,DENND3,CPVL,TAL1,PRDM16,MECOM,GPCPD1,ACAP1
AKAP13,TMC8,GNA13,P2RY12,CHSY1,PARP14,,,IRAK3,DDX60L,DISC1,CYFIP1,TBX15,PRRX1,PALMD,HLA-B,ACER2
PARVG,SLC11A1,,DOCK2,FMNL3,KCNQ1,,,SRGN,DENND3,DOCK2,DOCK8,TCF12,RBFOX2,PTPRB,KCTD12,ACKR1
MYOF,STAB1,,ATP8B4,ZC3HAV1,SRGAP2B,,,TM6SF1,DISC1,FGD4,ENTPD1,TCF4,REL,SLC2A1,OPRM1,ACKR3
ABCC4,USP6NL,,ETV6,TGFBR2,FCGBP,,,ABR,DLEU1,FMNL3,FAM149A,TCF7L1,RFX2,SLCO4A1,RNF144B,ACO1
IFNGR1,TMLHE-AS1,,HLA-DMB,CFLAR,IFI16,,,AKAP13,DOCK11,HCLS1,FGD2,TCF7L2,RUNX1,TGM2,SLC2A3,ACOT1
KCTD12,ZNF438,,MEF2A,MERTK,ESRRG,,,AOAH,DOCK2,ITGAM,FGD4,ZEB1,RUNX3,ENG,SRGN,ACOT11
PRKCH,RAB39A,,POU2F2,FAM177B,HLA-B,,,ARHGAP15,ITGAM,KCNK13,FMNL3,ZIC1,SOX10,MEF2A,TM6SF1,ACP7
EPSTI1,SIGLEC9,,LPAR6,LRCH1,ARHGAP15,,,ARHGAP25,LAPTM5,LHFPL2,GPCPD1,LINC01122,SOX5,MGST2,ANKS1A,ACSBG1
