_MEMBER_SCZ_imp_1 - 94.0-96.0,_MEMBER_SCZ_imp_1 - 96.0-98.0,_MEMBER_SCZ_imp_1 - 98.0-100.0,_LogP_SCZ_imp_1 - 94.0-96.0,_LogP_SCZ_imp_1 - 96.0-98.0,_LogP_SCZ_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-2,-2.9,-3.8,GO:0030099,myeloid cell differentiation,M111,3,0
1,1,1,-2.7,-2.8,-2.2,GO:0001944,vasculature development,M111,3,0
1,1,1,-2.6,-2.7,-2.3,GO:0048568,embryonic organ development,M111,3,0
1,1,1,-2.2,-5.4,-3.1,R-HSA-1280215,Cytokine Signaling in Immune system,M111,3,0
1,1,1,-3.4,-2.1,-2.3,GO:0035239,tube morphogenesis,M111,3,0
1,1,1,-2.2,-2.2,-2.2,hsa04912,GnRH signaling pathway,M111,3,0
1,1,1,-2.5,-2.1,-3,hsa05166,Human T-cell leukemia virus 1 infection,M111,3,0
1,1,1,-2.1,-2.5,-2.9,GO:0048562,embryonic organ morphogenesis,M111,3,0
1,1,1,-4.8,-2.1,-2.6,hsa05163,Human cytomegalovirus infection,M111,3,0
1,1,1,-2.5,-2.3,-5,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-2.6,-2.6,-2.1,GO:0002573,myeloid leukocyte differentiation,M111,3,0
1,1,1,-2.6,-3,-2.3,GO:0001568,blood vessel development,M111,3,0
1,1,1,-2.6,-2.6,-2.6,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M111,3,0
1,1,1,-3.9,-2.1,-2.6,hsa04928,"Parathyroid hormone synthesis, secretion and action",M111,3,0
1,1,1,-2.1,-2.8,-5.3,GO:0002521,leukocyte differentiation,M111,3,0
1,1,0,-2.5,-2.5,0,GO:0043392,negative regulation of DNA binding,M110,2,0
1,0,1,-2.3,0,-2.3,hsa04724,Glutamatergic synapse,M101,2,0
1,1,0,-2.1,-2.5,0,GO:0014706,striated muscle tissue development,M110,2,0
0,1,1,0,-3.3,-2.8,GO:0050808,synapse organization,M011,2,0
1,1,0,-2,-2.1,0,GO:0003281,ventricular septum development,M110,2,0
1,1,0,-2.4,-2,0,GO:0048839,inner ear development,M110,2,0
0,1,1,0,-2.1,-5.3,GO:0045321,leukocyte activation,M011,2,0
1,1,0,-2.5,-3.8,0,WP437,EGF EGFR signaling pathway,M110,2,0
0,1,1,0,-2.1,-2.1,M183,PID IL6 7 PATHWAY,M011,2,0
1,1,0,-2.2,-2.2,0,R-HSA-8939211,ESR-mediated signaling,M110,2,0
1,0,1,-2.5,0,-2.8,GO:0045596,negative regulation of cell differentiation,M101,2,0
0,1,1,0,-2.6,-2.9,GO:0071345,cellular response to cytokine stimulus,M011,2,0
1,1,0,-2.1,-2.2,0,GO:0072091,regulation of stem cell proliferation,M110,2,0
0,1,1,0,-2.1,-2.1,GO:0071354,cellular response to interleukin-6,M011,2,0
1,1,0,-2.3,-3,0,GO:0046620,regulation of organ growth,M110,2,0
0,1,1,0,-2,-3.9,hsa04392,Hippo signaling pathway - multiple species,M011,2,0
1,0,1,-2,0,-3.7,WP4541,Hippo Merlin signaling dysregulation,M101,2,0
1,0,1,-2.7,0,-2.7,GO:0048871,multicellular organismal-level homeostasis,M101,2,0
1,1,0,-2,-2.1,0,WP2261,Glioblastoma signaling pathways,M110,2,0
0,1,1,0,-3.5,-2.3,GO:0034330,cell junction organization,M011,2,0
1,0,1,-3.6,0,-2.3,GO:0048729,tissue morphogenesis,M101,2,0
1,1,0,-2.3,-2.3,0,GO:0055010,ventricular cardiac muscle tissue morphogenesis,M110,2,0
1,0,1,-3.7,0,-2.1,hsa04380,Osteoclast differentiation,M101,2,0
1,0,1,-3.9,0,-4.6,WP4540,Hippo signaling regulation pathways,M101,2,0
1,0,1,-2.6,0,-3.2,GO:0022612,gland morphogenesis,M101,2,0
0,1,1,0,-2.1,-2.1,GO:0070670,response to interleukin-4,M011,2,0
1,1,0,-2.5,-2,0,GO:0003151,outflow tract morphogenesis,M110,2,0
1,1,0,-2,-2.4,0,GO:0007423,sensory organ development,M110,2,0
1,1,0,-2.4,-2.2,0,GO:0048514,blood vessel morphogenesis,M110,2,0
1,0,1,-2.4,0,-2.4,hsa04921,Oxytocin signaling pathway,M101,2,0
1,0,1,-2,0,-2.8,GO:0048545,response to steroid hormone,M101,2,0
1,0,1,-3.1,0,-2.7,GO:0009896,positive regulation of catabolic process,M101,2,0
0,1,1,0,-3.2,-2.1,WP4666,Hepatitis B infection,M011,2,0
1,1,0,-2.5,-3.8,0,R-HSA-449147,Signaling by Interleukins,M110,2,0
1,1,0,-2,-2.7,0,GO:0030216,keratinocyte differentiation,M110,2,0
1,0,1,-2,0,-3.9,GO:0071417,cellular response to organonitrogen compound,M101,2,0
1,0,1,-2,0,-2.6,GO:0051384,response to glucocorticoid,M101,2,0
1,1,0,-5.2,-3.6,0,WP5434,Pathways in cancer,M110,2,0
0,1,1,0,-2.2,-2.2,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M011,2,0
1,0,1,-2,0,-3.2,GO:2000630,positive regulation of miRNA metabolic process,M101,2,0
1,0,1,-2.7,0,-5.1,R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,M101,2,0
0,1,1,0,-2.2,-4.8,GO:0007420,brain development,M011,2,0
1,1,0,-3,-2.1,0,WP3640,Imatinib and chronic myeloid leukemia,M110,2,0
0,1,1,0,-2,-2,GO:0070102,interleukin-6-mediated signaling pathway,M011,2,0
0,1,1,0,-3,-3.4,hsa05202,Transcriptional misregulation in cancer,M011,2,0
0,1,1,0,-2.6,-2.1,R-HSA-168898,Toll-like Receptor Cascades,M011,2,0
1,0,1,-2.5,0,-2.5,WP236,Adipogenesis,M101,2,0
1,0,1,-2.3,0,-2.3,hsa04920,Adipocytokine signaling pathway,M101,2,0
1,0,1,-2.8,0,-2.3,hsa04659,Th17 cell differentiation,M101,2,0
1,0,1,-3.5,0,-5.7,GO:0032870,cellular response to hormone stimulus,M101,2,0
1,0,1,-2.3,0,-2.3,GO:0043434,response to peptide hormone,M101,2,0
1,1,0,-2.7,-2.1,0,GO:0048704,embryonic skeletal system morphogenesis,M110,2,0
1,0,1,-2.7,0,-2.2,GO:0071375,cellular response to peptide hormone stimulus,M101,2,0
1,1,0,-5.5,-3.4,0,hsa05200,Pathways in cancer,M110,2,0
0,1,1,0,-2.1,-2.6,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,M011,2,0
0,1,1,0,-2,-2.7,GO:0048638,regulation of developmental growth,M011,2,0
1,1,0,-3.4,-3.9,0,GO:0007507,heart development,M110,2,0
1,0,1,-4.8,0,-3.7,GO:0009725,response to hormone,M101,2,0
1,0,1,-2.1,0,-2.1,GO:0006954,inflammatory response,M101,2,0
1,0,1,-2.3,0,-2.3,GO:1902895,positive regulation of miRNA transcription,M101,2,0
1,0,1,-2.9,0,-2.4,M2,PID SMAD2 3NUCLEAR PATHWAY,M101,2,0
1,0,1,-3.7,0,-2.3,GO:0001501,skeletal system development,M101,2,0
1,1,0,-2.5,-2.2,0,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M110,2,0
0,1,1,0,-2.2,-2.2,GO:0071353,cellular response to interleukin-4,M011,2,0
1,1,0,-2.1,-3.7,0,hsa04012,ErbB signaling pathway,M110,2,0
1,1,0,-2.3,-2.3,0,WP286,IL 3 signaling pathway,M110,2,0
1,1,0,-2.9,-2.9,0,GO:0007167,enzyme-linked receptor protein signaling pathway,M110,2,0
1,0,1,-3.5,0,-2.2,WP3584,MECP2 and associated Rett syndrome,M101,2,0
1,1,0,-2.6,-2.6,0,GO:0003231,cardiac ventricle development,M110,2,0
1,1,0,-2.9,-3.4,0,GO:0003007,heart morphogenesis,M110,2,0
1,0,1,-2.9,0,-4.2,M167,PID AP1 PATHWAY,M101,2,0
1,0,1,-3.1,0,-2.4,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M101,2,0
1,0,0,-3.8,0,0,hsa04070,Phosphatidylinositol signaling system,M100,1,0
0,0,1,0,0,-2.5,M28,PID IL4 2PATHWAY,M001,1,0
0,0,1,0,0,-2.4,GO:2000191,regulation of fatty acid transport,M001,1,0
0,1,0,0,-2.1,0,WP127,IL 5 signaling pathway,M010,1,0
0,0,1,0,0,-2.1,GO:0021801,cerebral cortex radial glia-guided migration,M001,1,0
1,0,0,-2.6,0,0,GO:0007431,salivary gland development,M100,1,0
0,0,1,0,0,-2.3,GO:0060349,bone morphogenesis,M001,1,0
0,1,0,0,-2.7,0,GO:0055017,cardiac muscle tissue growth,M010,1,0
0,1,0,0,-3.2,0,R-HSA-1912408,Pre-NOTCH Transcription and Translation,M010,1,0
0,0,1,0,0,-2.7,WP4534,Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms,M001,1,0
0,0,1,0,0,-2.4,GO:0043401,steroid hormone mediated signaling pathway,M001,1,0
1,0,0,-2.5,0,0,GO:0045655,regulation of monocyte differentiation,M100,1,0
0,1,0,0,-2.1,0,GO:0060043,regulation of cardiac muscle cell proliferation,M010,1,0
0,1,0,0,-2.9,0,GO:0071480,cellular response to gamma radiation,M010,1,0
1,0,0,-2,0,0,hsa01521,EGFR tyrosine kinase inhibitor resistance,M100,1,0
1,0,0,-3.9,0,0,GO:0060537,muscle tissue development,M100,1,0
0,0,1,0,0,-2.4,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,M001,1,0
0,1,0,0,-2.7,0,GO:0033146,regulation of intracellular estrogen receptor signaling pathway,M010,1,0
0,0,1,0,0,-2.6,GO:0030879,mammary gland development,M001,1,0
1,0,0,-2.3,0,0,GO:0051963,regulation of synapse assembly,M100,1,0
1,0,0,-2.4,0,0,GO:0030539,male genitalia development,M100,1,0
0,1,0,0,-2.7,0,GO:2000737,negative regulation of stem cell differentiation,M010,1,0
0,0,1,0,0,-2.2,WP2380,Brain derived neurotrophic factor BDNF signaling pathway,M001,1,0
0,0,1,0,0,-3.3,GO:0050767,regulation of neurogenesis,M001,1,0
0,0,1,0,0,-2.2,M34,PID TCR PATHWAY,M001,1,0
0,0,1,0,0,-3.4,WP4537,Hippo YAP signaling,M001,1,0
1,0,0,-3.1,0,0,GO:0030813,positive regulation of nucleotide catabolic process,M100,1,0
0,0,1,0,0,-2.9,GO:0099601,regulation of neurotransmitter receptor activity,M001,1,0
0,1,0,0,-2,0,GO:0045745,positive regulation of G protein-coupled receptor signaling pathway,M010,1,0
0,1,0,0,-2.8,0,GO:0001960,negative regulation of cytokine-mediated signaling pathway,M010,1,0
0,0,1,0,0,-4.3,GO:0008038,neuron recognition,M001,1,0
0,1,0,0,-2.5,0,GO:0003177,pulmonary valve development,M010,1,0
0,1,0,0,-2.5,0,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,M010,1,0
0,1,0,0,-2.1,0,GO:0048644,muscle organ morphogenesis,M010,1,0
0,0,1,0,0,-2.3,R-HSA-9707616,Heme signaling,M001,1,0
0,0,1,0,0,-2.4,GO:0030218,erythrocyte differentiation,M001,1,0
0,0,1,0,0,-3.1,GO:0120035,regulation of plasma membrane bounded cell projection organization,M001,1,0
0,0,1,0,0,-2.3,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M001,1,0
0,0,1,0,0,-2.2,GO:0062237,protein localization to postsynapse,M001,1,0
1,0,0,-2.4,0,0,GO:0002064,epithelial cell development,M100,1,0
0,0,1,0,0,-2.6,GO:0021772,olfactory bulb development,M001,1,0
0,0,1,0,0,-2.2,WP2857,Mesodermal commitment pathway,M001,1,0
0,0,1,0,0,-3.7,GO:0051960,regulation of nervous system development,M001,1,0
0,0,1,0,0,-4.7,GO:0001775,cell activation,M001,1,0
0,1,0,0,-2.1,0,GO:0038084,vascular endothelial growth factor signaling pathway,M010,1,0
1,0,0,-2.6,0,0,WP4241,Type 2 papillary renal cell carcinoma,M100,1,0
0,1,0,0,-2.5,0,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M010,1,0
0,1,0,0,-2.2,0,GO:1900025,negative regulation of substrate adhesion-dependent cell spreading,M010,1,0
0,1,0,0,-2.3,0,M10,PID BCR 5PATHWAY,M010,1,0
1,0,0,-2.5,0,0,WP289,Myometrial relaxation and contraction pathways,M100,1,0
0,1,0,0,-2,0,M1529,SA G1 AND S PHASES,M010,1,0
0,0,1,0,0,-2.5,WP4482,Vitamin D in inflammatory diseases,M001,1,0
0,0,1,0,0,-2.1,GO:0051961,negative regulation of nervous system development,M001,1,0
0,1,0,0,-2.1,0,GO:0070482,response to oxygen levels,M010,1,0
0,1,0,0,-2.4,0,M18895,SA TRKA RECEPTOR,M010,1,0
0,1,0,0,-2.7,0,R-HSA-157118,Signaling by NOTCH,M010,1,0
1,0,0,-2.6,0,0,GO:0097009,energy homeostasis,M100,1,0
1,0,0,-2.7,0,0,GO:0009792,embryo development ending in birth or egg hatching,M100,1,0
0,1,0,0,-2.5,0,GO:0010332,response to gamma radiation,M010,1,0
0,1,0,0,-2.4,0,R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,M010,1,0
0,0,1,0,0,-3.1,GO:0033598,mammary gland epithelial cell proliferation,M001,1,0
1,0,0,-2.5,0,0,GO:0070848,response to growth factor,M100,1,0
0,0,1,0,0,-2.9,WP5098,T cell activation SARS CoV 2,M001,1,0
0,0,1,0,0,-2.5,R-HSA-2871809,FCERI mediated Ca+2 mobilization,M001,1,0
0,0,1,0,0,-2,GO:0010866,regulation of triglyceride biosynthetic process,M001,1,0
0,0,1,0,0,-3,GO:0048858,cell projection morphogenesis,M001,1,0
0,0,1,0,0,-2,GO:2000193,positive regulation of fatty acid transport,M001,1,0
0,0,1,0,0,-4.6,GO:0097485,neuron projection guidance,M001,1,0
0,1,0,0,-2.1,0,GO:0002279,mast cell activation involved in immune response,M010,1,0
0,0,1,0,0,-2.4,GO:0097305,response to alcohol,M001,1,0
0,0,1,0,0,-2.1,GO:0050865,regulation of cell activation,M001,1,0
0,0,1,0,0,-3.1,GO:0070593,dendrite self-avoidance,M001,1,0
0,1,0,0,-2.8,0,hsa01522,Endocrine resistance,M010,1,0
0,1,0,0,-6,0,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M010,1,0
1,0,0,-2.1,0,0,hsa04072,Phospholipase D signaling pathway,M100,1,0
0,1,0,0,-2.1,0,GO:0072006,nephron development,M010,1,0
0,1,0,0,-2.5,0,GO:1905314,semi-lunar valve development,M010,1,0
0,1,0,0,-2.4,0,R-HSA-9675126,Diseases of mitotic cell cycle,M010,1,0
1,0,0,-2,0,0,M268,PID S1P S1P2 PATHWAY,M100,1,0
0,1,0,0,-2.3,0,WP410,Exercise induced circadian regulation,M010,1,0
0,1,0,0,-2.2,0,GO:0060415,muscle tissue morphogenesis,M010,1,0
0,1,0,0,-2.7,0,R-HSA-1912422,Pre-NOTCH Expression and Processing,M010,1,0
0,0,1,0,0,-2.7,GO:0048821,erythrocyte development,M001,1,0
0,0,1,0,0,-3.5,GO:0071383,cellular response to steroid hormone stimulus,M001,1,0
0,0,1,0,0,-2,GO:0046457,prostanoid biosynthetic process,M001,1,0
